Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Semakau Island,2020,12,1,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,2,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,3,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,4,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,5,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,6,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,7,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,8,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,9,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,10,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,11,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,12,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,13,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,14,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,15,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,16,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,17,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,18,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,19,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,20,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,21,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,22,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,23,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,24,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,25,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,26,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,27,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,28,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,29,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,30,-,-,-,-,-,-,-,-,-
Semakau Island,2020,12,31,-,-,-,-,-,-,-,-,-
