Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2017,9,1,0,0,0,0,29.1,31.7,27.4,14.8,34.9
Jurong Island,2017,9,2,0,0,0,0,29.3,32.3,27.7,15.5,38.9
Jurong Island,2017,9,3,0,0,0,0,29.3,32.6,27.7,18.7,41.8
Jurong Island,2017,9,4,0,0,0,0,28.8,31.4,27.3,9.4,33.8
Jurong Island,2017,9,5,0.4,0.4,0.4,0.4,29,31.6,26.5,11.9,47.9
Jurong Island,2017,9,6,2,1.2,1.4,1.4,27.4,29.1,24.8,8.3,41.8
Jurong Island,2017,9,7,32.4,22.2,31,32.2,28.1,30.5,23.8,10.4,31.3
Jurong Island,2017,9,8,0,0,0,0,27.8,31.3,25.8,11.5,40.7
Jurong Island,2017,9,9,0.6,0.4,0.6,0.6,28.2,30.5,25.8,7.6,41.8
Jurong Island,2017,9,10,6.4,5.8,6.4,6.4,28.4,31.4,24.5,6.5,49
Jurong Island,2017,9,11,17,7.6,8.4,10,27,29.7,23.6,5.4,43.9
Jurong Island,2017,9,12,0,0,0,0,29.1,32.1,26.3,8.6,26.3
Jurong Island,2017,9,13,0,0,0,0,29.4,32.6,26.9,11.2,32.4
Jurong Island,2017,9,14,4.2,4,4.2,4.2,28.4,31.5,24.6,10.1,40.7
Jurong Island,2017,9,15,37.6,30.2,35.8,37.6,27.7,29.6,23.4,6.1,31
Jurong Island,2017,9,16,26.6,13.6,21.2,26,27.5,30.3,22.6,6.5,40
Jurong Island,2017,9,17,5.6,2.8,2.8,2.8,28.6,32.5,26.2,14.4,36.4
Jurong Island,2017,9,18,24.2,13,22,22.8,27.2,30.7,24,9.7,31.7
Jurong Island,2017,9,19,0.6,0.6,0.6,0.6,27.2,29.7,24.9,5.8,26.3
Jurong Island,2017,9,20,5.2,1.4,2.6,3.8,27.3,31,24.3,9.4,57.6
Jurong Island,2017,9,21,3.2,1.2,1.4,1.6,27.2,30.6,23.9,8.3,46.1
Jurong Island,2017,9,22,0.2,0.2,0.2,0.2,29,31.2,27.2,9.7,31.7
Jurong Island,2017,9,23,0.2,0.2,0.2,0.2,28.7,31.4,26.9,12.6,37.8
Jurong Island,2017,9,24,7.6,5.4,6.8,7.2,28.3,31.2,24.3,9,32
Jurong Island,2017,9,25,0,0,0,0,29.3,31.5,28,11.2,26.6
Jurong Island,2017,9,26,0.6,0.4,0.4,0.4,28.5,32.2,27,7.6,27.7
Jurong Island,2017,9,27,0,0,0,0,28.4,30.5,26.4,5.8,32.4
Jurong Island,2017,9,28,15,11.6,13.6,14.6,28.3,30.7,24.1,5.4,35.6
Jurong Island,2017,9,29,15.8,11.4,15,15.2,27.8,30.1,23.4,6.5,49.7
Jurong Island,2017,9,30,0,0,0,0,28.1,30.8,26,7.2,36
