station,year,month,day,date,total_daily_rainfall,highest_30min_rainfall,highest_60min_rainfall,highest_120min_rainfall,mean_temp,max_temp,min_temp,mean_wind_sp,max_wind_sp,station_code,latitude,longitude,rainy_day
Paya Lebar,2018,1,1,2018-01-01,33.2,,,,25.2,27.3,23.8,7.2,27.7,06,1.3524,103.9007,1
Paya Lebar,2018,1,2,2018-01-02,10.2,,,,25.8,28.4,24.1,8.6,25.9,06,1.3524,103.9007,1
Paya Lebar,2018,1,3,2018-01-03,62.2,,,,26.8,32.1,24.5,7.6,31.3,06,1.3524,103.9007,1
Paya Lebar,2018,1,4,2018-01-04,0.3,,,,26.9,29.5,25.0,9.4,33.5,06,1.3524,103.9007,1
Paya Lebar,2018,1,5,2018-01-05,1.5,,,,26.8,30.0,24.3,9.0,24.1,06,1.3524,103.9007,1
Paya Lebar,2018,1,6,2018-01-06,0.0,,,,27.8,31.2,24.6,9.7,22.3,06,1.3524,103.9007,0
Paya Lebar,2018,1,7,2018-01-07,18.9,,,,27.4,31.5,24.6,10.4,33.5,06,1.3524,103.9007,1
Paya Lebar,2018,1,8,2018-01-08,131.8,,,,27.4,32.5,23.3,9.4,29.5,06,1.3524,103.9007,1
Paya Lebar,2018,1,9,2018-01-09,0.0,,,,28.0,33.2,25.8,13.7,40.7,06,1.3524,103.9007,0
Paya Lebar,2018,1,10,2018-01-10,26.5,,,,25.3,27.3,22.9,11.2,31.3,06,1.3524,103.9007,1
Paya Lebar,2018,1,11,2018-01-11,12.2,,,,24.0,26.1,22.0,15.1,40.7,06,1.3524,103.9007,1
Paya Lebar,2018,1,12,2018-01-12,9.0,,,,23.1,24.1,22.2,16.2,37.1,06,1.3524,103.9007,1
Paya Lebar,2018,1,13,2018-01-13,25.8,,,,23.2,23.9,21.4,13.7,37.1,06,1.3524,103.9007,1
Paya Lebar,2018,1,14,2018-01-14,6.9,,,,23.8,26.0,21.6,16.6,44.3,06,1.3524,103.9007,1
Paya Lebar,2018,1,15,2018-01-15,0.9,,,,25.6,28.5,23.0,16.2,42.5,06,1.3524,103.9007,1
Paya Lebar,2018,1,16,2018-01-16,0.0,,,,27.1,30.8,24.0,15.5,37.1,06,1.3524,103.9007,0
Paya Lebar,2018,1,17,2018-01-17,0.0,,,,28.0,32.7,24.5,21.2,42.5,06,1.3524,103.9007,0
Paya Lebar,2018,1,18,2018-01-18,1.3,,,,27.9,32.0,24.3,20.5,42.5,06,1.3524,103.9007,1
Paya Lebar,2018,1,19,2018-01-19,6.8,,,,27.4,33.0,24.6,13.3,37.1,06,1.3524,103.9007,1
Paya Lebar,2018,1,20,2018-01-20,24.4,,,,27.0,32.5,24.7,10.4,38.9,06,1.3524,103.9007,1
Paya Lebar,2018,1,21,2018-01-21,2.6,,,,28.6,34.6,24.7,12.6,27.7,06,1.3524,103.9007,1
Paya Lebar,2018,1,22,2018-01-22,0.0,,,,28.7,33.5,25.1,13.3,40.7,06,1.3524,103.9007,0
Paya Lebar,2018,1,23,2018-01-23,11.5,,,,27.7,30.9,25.1,11.9,40.7,06,1.3524,103.9007,1
Paya Lebar,2018,1,24,2018-01-24,4.9,,,,27.8,32.4,24.4,10.8,44.3,06,1.3524,103.9007,1
Paya Lebar,2018,1,25,2018-01-25,1.8,,,,27.4,31.6,24.7,12.6,29.5,06,1.3524,103.9007,1
Paya Lebar,2018,1,26,2018-01-26,9.5,,,,27.1,30.8,25.0,11.9,33.5,06,1.3524,103.9007,1
Paya Lebar,2018,1,27,2018-01-27,1.1,,,,28.0,33.2,25.0,13.3,33.5,06,1.3524,103.9007,1
Paya Lebar,2018,1,28,2018-01-28,25.6,,,,27.0,32.5,23.9,12.2,42.5,06,1.3524,103.9007,1
Paya Lebar,2018,1,29,2018-01-29,0.0,,,,28.7,33.7,25.1,14.4,33.5,06,1.3524,103.9007,0
Paya Lebar,2018,1,30,2018-01-30,18.3,,,,27.9,33.4,24.1,15.1,44.3,06,1.3524,103.9007,1
Paya Lebar,2018,1,31,2018-01-31,58.2,,,,27.7,34.1,22.5,16.2,55.4,06,1.3524,103.9007,1
Paya Lebar,2018,3,1,2018-03-01,0.0,,,,28.4,32.4,25.6,15.5,40.7,06,1.3524,103.9007,0
Paya Lebar,2018,3,2,2018-03-02,1.7,,,,28.0,32.7,25.3,12.2,27.7,06,1.3524,103.9007,1
Paya Lebar,2018,3,3,2018-03-03,0.0,,,,28.9,33.7,25.6,14.4,35.3,06,1.3524,103.9007,0
Paya Lebar,2018,3,4,2018-03-04,0.0,,,,28.7,32.3,25.9,10.4,31.3,06,1.3524,103.9007,0
Paya Lebar,2018,3,5,2018-03-05,0.0,,,,29.1,33.7,25.6,16.9,44.3,06,1.3524,103.9007,0
Paya Lebar,2018,3,6,2018-03-06,0.0,,,,29.4,34.3,26.0,13.3,37.1,06,1.3524,103.9007,0
Paya Lebar,2018,3,7,2018-03-07,6.2,,,,27.0,29.0,24.8,11.9,33.5,06,1.3524,103.9007,1
Paya Lebar,2018,3,8,2018-03-08,0.0,,,,27.2,30.1,25.0,13.0,33.5,06,1.3524,103.9007,0
Paya Lebar,2018,3,9,2018-03-09,0.0,,,,28.9,33.2,25.2,20.5,48.2,06,1.3524,103.9007,0
Paya Lebar,2018,3,10,2018-03-10,7.8,,,,27.7,30.1,25.2,22.0,63.0,06,1.3524,103.9007,1
Paya Lebar,2018,3,11,2018-03-11,0.0,,,,28.3,31.7,25.5,20.9,46.4,06,1.3524,103.9007,0
Paya Lebar,2018,3,12,2018-03-12,0.7,,,,28.5,31.6,26.3,21.2,42.5,06,1.3524,103.9007,1
Paya Lebar,2018,3,13,2018-03-13,0.0,,,,28.9,32.7,25.6,20.5,51.8,06,1.3524,103.9007,0
Paya Lebar,2018,3,14,2018-03-14,0.0,,,,28.9,33.8,25.1,15.8,40.7,06,1.3524,103.9007,0
Paya Lebar,2018,3,15,2018-03-15,0.0,,,,29.1,33.0,25.3,12.2,27.7,06,1.3524,103.9007,0
Paya Lebar,2018,3,16,2018-03-16,0.9,,,,29.2,33.6,26.0,14.4,38.9,06,1.3524,103.9007,1
Paya Lebar,2018,3,17,2018-03-17,0.1,,,,29.3,34.8,25.8,15.1,37.1,06,1.3524,103.9007,0
Paya Lebar,2018,3,18,2018-03-18,0.0,,,,29.0,33.8,25.8,15.5,46.4,06,1.3524,103.9007,0
Paya Lebar,2018,3,19,2018-03-19,0.0,,,,29.3,34.0,26.0,11.5,33.5,06,1.3524,103.9007,0
Paya Lebar,2018,3,20,2018-03-20,0.0,,,,29.2,33.7,26.4,10.1,27.7,06,1.3524,103.9007,0
Paya Lebar,2018,3,21,2018-03-21,0.0,,,,28.9,33.9,26.3,9.4,27.7,06,1.3524,103.9007,0
Paya Lebar,2018,3,22,2018-03-22,0.0,,,,29.3,33.9,25.7,16.6,42.5,06,1.3524,103.9007,0
Paya Lebar,2018,3,23,2018-03-23,0.0,,,,29.1,33.7,25.3,14.4,40.7,06,1.3524,103.9007,0
Paya Lebar,2018,3,24,2018-03-24,0.0,,,,28.7,32.2,25.7,14.4,42.5,06,1.3524,103.9007,0
Paya Lebar,2018,3,25,2018-03-25,1.0,,,,27.4,30.8,25.2,8.3,27.7,06,1.3524,103.9007,1
Paya Lebar,2018,3,26,2018-03-26,0.2,,,,28.8,33.3,24.9,11.9,38.9,06,1.3524,103.9007,1
Paya Lebar,2018,3,27,2018-03-27,7.6,,,,25.9,29.6,23.9,12.2,40.7,06,1.3524,103.9007,1
Paya Lebar,2018,3,28,2018-03-28,10.8,,,,26.8,32.9,24.5,6.8,31.3,06,1.3524,103.9007,1
Paya Lebar,2018,3,29,2018-03-29,0.1,,,,27.1,30.7,25.4,5.4,20.5,06,1.3524,103.9007,0
Paya Lebar,2018,3,30,2018-03-30,1.0,,,,27.6,33.9,24.6,5.4,40.7,06,1.3524,103.9007,1
Paya Lebar,2018,3,31,2018-03-31,0.0,,,,28.4,33.8,25.6,10.8,35.3,06,1.3524,103.9007,0
Paya Lebar,2018,2,1,2018-02-01,1.6,,,,28.8,32.6,25.7,22.0,46.4,06,1.3524,103.9007,1
Paya Lebar,2018,2,2,2018-02-02,7.1,,,,26.0,29.8,24.0,18.0,38.9,06,1.3524,103.9007,1
Paya Lebar,2018,2,3,2018-02-03,0.0,,,,27.7,31.2,25.0,23.0,51.8,06,1.3524,103.9007,0
