Week,Dengue fever: (Singapore),Dengue: (Singapore),Mosquito: (Singapore),Insect repellent: (Singapore)
8/11/2015,6,5,7,1
15/11/2015,7,6,7,3
22/11/2015,7,6,6,2
29/11/2015,6,6,7,2
6/12/2015,7,7,5,2
13/12/2015,11,10,8,3
20/12/2015,6,6,9,2
27/12/2015,11,9,8,2
3/1/2016,16,14,8,2
10/1/2016,14,13,6,3
17/1/2016,13,12,11,2
24/1/2016,19,17,12,2
31/1/2016,17,16,16,5
7/2/2016,17,14,9,3
14/2/2016,17,16,7,2
21/2/2016,14,13,8,3
28/2/2016,13,12,8,2
6/3/2016,11,10,7,2
13/3/2016,11,10,8,1
20/3/2016,8,8,7,2
27/3/2016,10,10,7,1
3/4/2016,10,10,7,2
10/4/2016,10,9,8,3
17/4/2016,8,7,7,3
24/4/2016,7,6,5,1
1/5/2016,7,6,7,2
8/5/2016,9,8,8,1
15/5/2016,6,6,10,3
22/5/2016,8,7,8,3
29/5/2016,8,8,9,2
5/6/2016,9,8,7,2
12/6/2016,7,7,9,2
19/6/2016,8,7,8,1
26/6/2016,9,8,9,2
3/7/2016,7,7,7,3
10/7/2016,9,9,7,1
17/7/2016,8,8,6,3
24/7/2016,9,8,8,1
31/7/2016,10,9,8,3
7/8/2016,6,5,6,2
14/8/2016,7,7,6,2
21/8/2016,6,5,5,2
28/8/2016,17,16,100,57
4/9/2016,12,11,52,28
11/9/2016,9,10,25,8
18/9/2016,8,8,16,6
25/9/2016,6,5,10,3
2/10/2016,7,6,6,2
9/10/2016,10,7,10,3
16/10/2016,5,5,7,2
23/10/2016,5,5,8,2
30/10/2016,5,4,7,<1
6/11/2016,4,3,5,1
13/11/2016,3,3,8,1
20/11/2016,5,4,6,2
27/11/2016,4,3,7,2
4/12/2016,3,2,5,2
11/12/2016,4,3,7,1
18/12/2016,2,2,5,1
25/12/2016,4,4,6,1
1/1/2017,5,5,6,2
8/1/2017,4,4,4,1
15/1/2017,4,4,5,1
22/1/2017,4,3,6,1
29/1/2017,5,3,7,1
5/2/2017,5,4,6,1
12/2/2017,3,2,6,3
19/2/2017,4,3,7,2
26/2/2017,4,4,5,2
5/3/2017,4,3,6,1
12/3/2017,5,4,5,2
19/3/2017,4,3,7,2
26/3/2017,3,3,7,3
2/4/2017,7,5,8,3
9/4/2017,4,2,7,1
16/4/2017,4,3,8,2
23/4/2017,4,4,6,2
30/4/2017,5,5,6,2
7/5/2017,4,5,8,1
14/5/2017,4,4,8,1
21/5/2017,5,5,6,1
28/5/2017,6,5,7,2
4/6/2017,4,4,5,2
11/6/2017,4,4,7,1
18/6/2017,3,3,5,1
25/6/2017,4,4,6,2
2/7/2017,5,4,7,3
9/7/2017,5,5,5,1
16/7/2017,5,5,7,1
23/7/2017,4,4,6,1
30/7/2017,3,3,6,2
6/8/2017,3,3,6,2
13/8/2017,4,4,6,1
20/8/2017,4,4,6,2
27/8/2017,3,2,7,1
3/9/2017,3,3,6,2
10/9/2017,4,3,6,2
17/9/2017,5,3,7,1
24/9/2017,4,4,6,3
1/10/2017,4,3,7,2
8/10/2017,4,3,6,2
15/10/2017,5,6,6,2
22/10/2017,4,4,6,2
29/10/2017,4,5,5,1
5/11/2017,4,4,6,2
12/11/2017,4,4,8,1
19/11/2017,4,4,6,2
26/11/2017,3,4,6,2
3/12/2017,5,5,5,2
10/12/2017,5,5,4,2
17/12/2017,3,2,4,2
24/12/2017,3,2,6,0
31/12/2017,4,3,5,2
7/1/2018,4,4,6,1
14/1/2018,4,3,5,2
21/1/2018,5,6,7,1
28/1/2018,3,2,4,1
4/2/2018,3,3,5,1
11/2/2018,5,3,5,1
18/2/2018,4,3,7,2
25/2/2018,3,3,7,1
4/3/2018,3,3,7,2
11/3/2018,4,3,8,2
18/3/2018,4,4,5,1
25/3/2018,3,3,8,2
1/4/2018,4,3,9,2
8/4/2018,3,2,8,3
15/4/2018,2,2,7,1
22/4/2018,2,3,8,3
29/4/2018,6,6,7,2
6/5/2018,11,9,10,3
13/5/2018,4,5,6,2
20/5/2018,7,7,8,2
27/5/2018,5,4,8,2
3/6/2018,4,4,9,2
10/6/2018,5,4,7,1
17/6/2018,4,4,7,2
24/6/2018,5,4,9,2
1/7/2018,4,3,7,3
8/7/2018,3,5,7,2
15/7/2018,3,3,7,2
22/7/2018,4,4,5,2
29/7/2018,5,2,9,1
5/8/2018,4,4,6,2
12/8/2018,3,4,6,2
19/8/2018,4,3,6,<1
26/8/2018,3,3,6,2
2/9/2018,4,3,6,2
9/9/2018,3,3,5,2
16/9/2018,4,4,6,1
23/9/2018,4,4,6,2
30/9/2018,3,3,6,1
7/10/2018,3,3,5,2
14/10/2018,3,3,6,1
21/10/2018,3,3,6,2
28/10/2018,4,3,6,1
4/11/2018,4,4,6,1
11/11/2018,4,3,9,2
18/11/2018,4,3,7,2
25/11/2018,5,6,10,2
2/12/2018,6,5,7,1
9/12/2018,5,4,8,3
16/12/2018,6,5,8,2
23/12/2018,5,4,5,2
30/12/2018,5,4,6,2
6/1/2019,8,7,6,1
13/1/2019,8,7,7,1
20/1/2019,8,7,6,1
27/1/2019,6,5,7,2
3/2/2019,8,7,6,2
10/2/2019,10,10,7,1
17/2/2019,8,7,9,3
24/2/2019,6,5,7,3
3/3/2019,6,6,9,3
10/3/2019,5,4,8,3
17/3/2019,6,6,6,2
24/3/2019,5,4,6,2
31/3/2019,4,4,7,2
7/4/2019,7,6,8,2
14/4/2019,6,6,9,2
21/4/2019,6,6,10,2
28/4/2019,6,6,8,1
5/5/2019,8,7,10,3
12/5/2019,7,6,10,2
19/5/2019,7,7,9,2
26/5/2019,12,11,9,3
2/6/2019,9,8,9,3
9/6/2019,10,9,11,2
16/6/2019,15,14,9,3
23/6/2019,16,15,10,3
30/6/2019,14,13,9,3
7/7/2019,15,14,9,2
14/7/2019,18,16,10,3
21/7/2019,16,14,10,2
