Week,Dengue fever: (Singapore),fogging: (Singapore),Mosquito: (Singapore),dengue: (Singapore),dengue cluster: (Singapore)
1/4/2018,10,1,24,11,0
8/4/2018,8,1,23,6,1
15/4/2018,5,0,20,6,0
22/4/2018,9,2,22,6,1
29/4/2018,19,0,19,15,1
6/5/2018,30,0,29,29,2
13/5/2018,13,1,19,14,2
20/5/2018,20,2,25,19,3
27/5/2018,13,0,24,11,0
3/6/2018,14,0,28,14,2
10/6/2018,16,0,20,15,3
17/6/2018,12,1,18,12,1
24/6/2018,11,0,25,10,0
1/7/2018,13,0,22,10,1
8/7/2018,13,0,20,10,0
15/7/2018,10,1,20,7,1
22/7/2018,12,0,18,12,3
29/7/2018,12,0,25,11,2
5/8/2018,9,2,17,10,0
12/8/2018,10,2,15,8,0
19/8/2018,9,2,16,10,2
26/8/2018,8,0,18,8,2
2/9/2018,12,1,17,9,0
9/9/2018,8,0,15,7,3
16/9/2018,12,1,18,11,1
23/9/2018,12,0,18,11,1
30/9/2018,9,0,19,8,0
7/10/2018,10,0,13,6,1
14/10/2018,10,0,15,9,0
21/10/2018,10,0,15,9,0
28/10/2018,10,1,18,10,1
4/11/2018,12,1,17,12,1
11/11/2018,10,0,24,9,0
18/11/2018,10,1,20,11,0
25/11/2018,17,1,27,14,1
2/12/2018,18,2,22,16,2
9/12/2018,12,0,23,13,2
16/12/2018,17,0,22,17,1
23/12/2018,13,3,13,11,2
30/12/2018,14,0,18,13,2
6/1/2019,22,1,15,20,3
13/1/2019,22,1,21,19,2
20/1/2019,21,1,17,19,4
27/1/2019,16,0,20,14,4
3/2/2019,23,4,17,19,7
10/2/2019,28,2,20,27,4
17/2/2019,21,0,24,22,1
24/2/2019,17,1,21,17,1
3/3/2019,19,1,24,17,3
10/3/2019,15,2,21,14,2
17/3/2019,18,0,18,17,1
24/3/2019,13,1,18,12,1
31/3/2019,14,3,19,13,1
7/4/2019,19,0,25,17,3
14/4/2019,16,1,23,17,2
21/4/2019,18,1,28,15,2
28/4/2019,19,2,23,17,1
5/5/2019,22,0,30,21,4
12/5/2019,21,1,29,19,2
19/5/2019,22,0,25,19,3
26/5/2019,36,0,25,33,5
2/6/2019,26,0,25,26,0
9/6/2019,28,1,32,23,3
16/6/2019,43,0,27,42,7
23/6/2019,47,3,29,43,8
30/6/2019,40,1,27,37,7
7/7/2019,45,1,23,41,6
14/7/2019,50,0,27,44,8
21/7/2019,44,2,29,41,6
28/7/2019,60,0,29,52,7
4/8/2019,57,3,31,51,9
11/8/2019,50,2,26,44,6
18/8/2019,45,1,30,42,8
