,year,week,cluster_sn,no_cases,latitude,longitude,point,pln_area_n,region_n,pln_total_cases,reg_total_cases,total_cases,total_daily_rainfall,highest_30min_rainfall,highest_60min_rainfall,highest_120min_rainfall,max_wind_sp,max_temp,rainy_day,mean_temp,mean_wind_sp,min_temp,humidity,hdb_1_and_2_room_flats_hse,hdb_3_room_flats_hse,hdb_4_room_flats_hse,hdb_5_room_and_executive_flats_hse,condominiums_and_other_apartments_hse,landed_properties_hse,others_hse,total_hdb_hse,hdb_1_and_2_room_flats_pop,hdb_3_room_flats_pop,hdb_4_room_flats_pop,hdb_5_room_and_executive_flats_pop,condominiums_and_other_apartments_pop,landed_properties_pop,others_pop,total_hdb_pop,total_pop,dengue_fever,dengue,mosquito,insect_repellent,dengue_fever_diff,dengue_fever_2nd_diff,dengue_diff,dengue_2nd_diff,mosquito_diff,mosquito_2nd_diff,insect_repellent_diff,insect_repellent_2nd_diff,date
8,2013,21,9.0,14.0,1.3154936333333334,103.88826651666666,POINT (103.88826651666666 1.3154936333333334),GEYLANG,CENTRAL REGION,17.0,65.0,596.0,5.5600000000000005,,,,49.7,33.6,1,28.405,5.49,23.1,83.20328466977637,4425.2,11288.0,9723.2,4662.4,6195.2,1634.0,470.8,30254.0,10010.0,32322.0,33068.0,16880.0,16656.0,6772.0,2200.0,92830.0,118452.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
12,2013,21,13.0,12.0,1.3183753,103.8051864,POINT (103.8051864 1.3183753),BUKIT TIMAH,CENTRAL REGION,21.0,65.0,596.0,5.5600000000000005,,,,49.7,33.6,1,28.405,5.49,23.1,83.20328466977637,0.0,465.2,874.0,958.4,11205.2,8872.4,228.0,2297.6,0.0,1132.0,2904.0,3738.0,31864.0,32132.0,1026.0,7782.0,72806.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
14,2013,21,15.0,9.0,1.317319,103.807431,POINT (103.807431 1.317319),BUKIT TIMAH,CENTRAL REGION,21.0,65.0,596.0,5.5600000000000005,,,,49.7,33.6,1,28.405,5.49,23.1,83.20328466977637,0.0,465.2,874.0,958.4,11205.2,8872.4,228.0,2297.6,0.0,1132.0,2904.0,3738.0,31864.0,32132.0,1026.0,7782.0,72806.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
17,2013,21,18.0,7.0,1.32798352,103.84434796,POINT (103.84434796000001 1.32798352),NOVENA,CENTRAL REGION,7.0,65.0,596.0,5.5600000000000005,,,,49.7,33.6,1,28.405,5.49,23.1,83.20328466977637,838.4,2946.8,2185.2,1269.2,6277.2,1919.6,126.4,7239.6,2124.0,8210.0,6876.0,5206.0,16414.0,7328.0,1292.0,22410.0,47450.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
21,2013,21,22.0,6.0,1.3250736,103.863185425,POINT (103.863185425 1.3250736),KALLANG,CENTRAL REGION,6.0,65.0,596.0,5.5600000000000005,,,,49.7,33.6,1,28.405,5.49,23.1,83.20328466977637,5992.0,10220.0,7804.8,4320.0,6890.8,403.2000000000001,458.8,28336.8,12464.0,28630.0,25014.0,15078.0,16052.0,1556.0,1762.0,81182.0,100550.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
23,2013,21,24.0,5.0,1.358423625,103.8314106,POINT (103.8314106 1.358423625),BISHAN,CENTRAL REGION,5.0,65.0,596.0,5.5600000000000005,,,,49.7,33.6,1,28.405,5.49,23.1,83.20328466977637,477.6,2148.4,9848.0,7384.0,4368.0,3184.8,81.2,20089.2,1018.0,5626.0,32144.0,27182.0,13022.0,10878.0,544.0,66490.0,90940.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
24,2013,21,25.0,5.0,1.341951525,103.8461486,POINT (103.84614859999999 1.341951525),TOA PAYOH,CENTRAL REGION,5.0,65.0,596.0,5.5600000000000005,,,,49.7,33.6,1,28.405,5.49,23.1,83.20328466977637,5021.6,15670.8,9972.4,6719.2,2503.2,1782.4,414.0,38350.8,11252.0,39772.0,31522.0,24314.0,7080.0,5842.0,1762.0,110144.0,124824.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
27,2013,21,28.0,4.0,1.30128545,103.7958415,POINT (103.7958415 1.30128545),QUEENSTOWN,CENTRAL REGION,4.0,65.0,596.0,5.5600000000000005,,,,49.7,33.6,1,28.405,5.49,23.1,83.20328466977637,3688.4,14686.8,7346.0,3919.6,4289.6,1062.0,113.2,29640.8,8762.0,36794.0,22838.0,13932.0,10816.0,3724.0,1368.0,82322.0,98230.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
33,2013,21,34.0,3.0,1.3177924,103.90187526666666,POINT (103.90187526666666 1.3177924),GEYLANG,CENTRAL REGION,17.0,65.0,596.0,5.5600000000000005,,,,49.7,33.6,1,28.405,5.49,23.1,83.20328466977637,4425.2,11288.0,9723.2,4662.4,6195.2,1634.0,470.8,30254.0,10010.0,32322.0,33068.0,16880.0,16656.0,6772.0,2200.0,92830.0,118452.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
51,2013,22,10.0,14.0,1.3154936333333334,103.88826651666666,POINT (103.88826651666666 1.3154936333333334),GEYLANG,CENTRAL REGION,17.0,75.0,612.0,1.8342857142857143,,,,88.9,34.0,1,28.26,5.797142857142857,23.3,83.20328466977637,4425.2,11288.0,9723.2,4662.4,6195.2,1634.0,470.8,30254.0,10010.0,32322.0,33068.0,16880.0,16656.0,6772.0,2200.0,92830.0,118452.0,29.0,28.0,9.0,3.0,-4.0,,-2.0,,-1.0,,1.0,,2013-06-02
54,2013,22,13.0,13.0,1.3183753,103.8051864,POINT (103.8051864 1.3183753),BUKIT TIMAH,CENTRAL REGION,23.0,75.0,612.0,1.8342857142857143,,,,88.9,34.0,1,28.26,5.797142857142857,23.3,83.20328466977637,0.0,465.2,874.0,958.4,11205.2,8872.4,228.0,2297.6,0.0,1132.0,2904.0,3738.0,31864.0,32132.0,1026.0,7782.0,72806.0,29.0,28.0,9.0,3.0,-4.0,,-2.0,,-1.0,,1.0,,2013-06-02
56,2013,22,15.0,10.0,1.317319,103.807431,POINT (103.807431 1.317319),BUKIT TIMAH,CENTRAL REGION,23.0,75.0,612.0,1.8342857142857143,,,,88.9,34.0,1,28.26,5.797142857142857,23.3,83.20328466977637,0.0,465.2,874.0,958.4,11205.2,8872.4,228.0,2297.6,0.0,1132.0,2904.0,3738.0,31864.0,32132.0,1026.0,7782.0,72806.0,29.0,28.0,9.0,3.0,-4.0,,-2.0,,-1.0,,1.0,,2013-06-02
58,2013,22,17.0,7.0,1.32798352,103.84434796,POINT (103.84434796000001 1.32798352),NOVENA,CENTRAL REGION,7.0,75.0,612.0,1.8342857142857143,,,,88.9,34.0,1,28.26,5.797142857142857,23.3,83.20328466977637,838.4,2946.8,2185.2,1269.2,6277.2,1919.6,126.4,7239.6,2124.0,8210.0,6876.0,5206.0,16414.0,7328.0,1292.0,22410.0,47450.0,29.0,28.0,9.0,3.0,-4.0,,-2.0,,-1.0,,1.0,,2013-06-02
61,2013,22,20.0,6.0,1.3250736,103.863185425,POINT (103.863185425 1.3250736),KALLANG,CENTRAL REGION,6.0,75.0,612.0,1.8342857142857143,,,,88.9,34.0,1,28.26,5.797142857142857,23.3,83.20328466977637,5992.0,10220.0,7804.8,4320.0,6890.8,403.2000000000001,458.8,28336.8,12464.0,28630.0,25014.0,15078.0,16052.0,1556.0,1762.0,81182.0,100550.0,29.0,28.0,9.0,3.0,-4.0,,-2.0,,-1.0,,1.0,,2013-06-02
62,2013,22,21.0,6.0,1.34164746,103.84614236,POINT (103.84614236 1.3416474600000001),TOA PAYOH,CENTRAL REGION,6.0,75.0,612.0,1.8342857142857143,,,,88.9,34.0,1,28.26,5.797142857142857,23.3,83.20328466977637,5021.6,15670.8,9972.4,6719.2,2503.2,1782.4,414.0,38350.8,11252.0,39772.0,31522.0,24314.0,7080.0,5842.0,1762.0,110144.0,124824.0,29.0,28.0,9.0,3.0,-4.0,,-2.0,,-1.0,,1.0,,2013-06-02
