,year,week,cluster_sn,no_cases,latitude,longitude,point,pln_area_n,region_n,pln_total_cases,reg_total_cases,total_cases,total_daily_rainfall,highest_30min_rainfall,highest_60min_rainfall,highest_120min_rainfall,max_wind_sp,max_temp,rainy_day,mean_temp,mean_wind_sp,min_temp,humidity,hdb_1_and_2_room_flats_hse,hdb_3_room_flats_hse,hdb_4_room_flats_hse,hdb_5_room_and_executive_flats_hse,condominiums_and_other_apartments_hse,landed_properties_hse,others_hse,total_hdb_hse,hdb_1_and_2_room_flats_pop,hdb_3_room_flats_pop,hdb_4_room_flats_pop,hdb_5_room_and_executive_flats_pop,condominiums_and_other_apartments_pop,landed_properties_pop,others_pop,total_hdb_pop,total_pop,dengue_fever,dengue,mosquito,insect_repellent,dengue_fever_diff,dengue_fever_2nd_diff,dengue_diff,dengue_2nd_diff,mosquito_diff,mosquito_2nd_diff,insect_repellent_diff,insect_repellent_2nd_diff,date
1,2013,21,2.0,81.0,1.436128538888889,103.83915970833333,POINT (103.83915970833333 1.436128538888889),YISHUN,NORTH REGION,81.0,84.0,596.0,8.783333333333333,,,,38.5,34.5,1,27.40833333333333,4.683333333333333,23.7,78.0087168758717,1425.1999999999998,13758.4,28100.0,11378.4,3065.2,1328.4,174.8,54602.0,2754.0,39728.0,96550.0,42672.0,7526.0,5162.0,890.0,181694.0,195266.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
41,2013,21,42.0,3.0,1.4324579000000002,103.7950277,POINT (103.79502769999999 1.4324579000000002),WOODLANDS,NORTH REGION,3.0,84.0,596.0,8.783333333333333,,,,38.5,34.5,1,27.40833333333333,4.683333333333333,23.7,78.0087168758717,2514.0,6507.2,29788.4,27302.4,3352.4,116.4,30.799999999999997,66112.0,5512.0,18460.0,106908.0,106170.0,9626.0,588.0,954.0,237050.0,248218.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
43,2013,22,2.0,81.0,1.436128538888889,103.83915970833333,POINT (103.83915970833333 1.436128538888889),YISHUN,NORTH REGION,81.0,85.0,612.0,11.676190476190476,,,,56.5,35.4,1,27.688235294117646,5.619047619047619,22.9,78.0087168758717,1425.1999999999998,13758.4,28100.0,11378.4,3065.2,1328.4,174.8,54602.0,2754.0,39728.0,96550.0,42672.0,7526.0,5162.0,890.0,181694.0,195266.0,29.0,28.0,9.0,3.0,-4.0,,-2.0,,-1.0,,1.0,,2013-06-02
74,2013,22,33.0,4.0,1.432226233333333,103.79482646666668,POINT (103.79482646666668 1.4322262333333333),WOODLANDS,NORTH REGION,4.0,85.0,612.0,11.676190476190476,,,,56.5,35.4,1,27.688235294117646,5.619047619047619,22.9,78.0087168758717,2514.0,6507.2,29788.4,27302.4,3352.4,116.4,30.799999999999997,66112.0,5512.0,18460.0,106908.0,106170.0,9626.0,588.0,954.0,237050.0,248218.0,29.0,28.0,9.0,3.0,-4.0,,-2.0,,-1.0,,1.0,,2013-06-02
86,2013,24,2.0,96.0,1.4361670097560977,103.8390365097561,POINT (103.8390365097561 1.4361670097560977),YISHUN,NORTH REGION,126.0,130.0,1039.0,0.6904761904761905,,,,51.8,34.3,1,29.271428571428572,8.757142857142858,24.5,78.0087168758717,1425.1999999999998,13758.4,28100.0,11378.4,3065.2,1328.4,174.8,54602.0,2754.0,39728.0,96550.0,42672.0,7526.0,5162.0,890.0,181694.0,195266.0,42.0,39.0,14.0,2.0,-14.0,-41.0,-13.0,-37.0,-4.0,-13.0,-2.0,-3.0,2013-06-16
103,2013,24,19.0,14.0,1.4296228285714283,103.84194755714286,POINT (103.84194755714286 1.4296228285714285),YISHUN,NORTH REGION,126.0,130.0,1039.0,0.6904761904761905,,,,51.8,34.3,1,29.271428571428572,8.757142857142858,24.5,78.0087168758717,1425.1999999999998,13758.4,28100.0,11378.4,3065.2,1328.4,174.8,54602.0,2754.0,39728.0,96550.0,42672.0,7526.0,5162.0,890.0,181694.0,195266.0,42.0,39.0,14.0,2.0,-14.0,-41.0,-13.0,-37.0,-4.0,-13.0,-2.0,-3.0,2013-06-16
108,2013,24,24.0,9.0,1.4313325,103.83693425,POINT (103.83693425 1.4313325),YISHUN,NORTH REGION,126.0,130.0,1039.0,0.6904761904761905,,,,51.8,34.3,1,29.271428571428572,8.757142857142858,24.5,78.0087168758717,1425.1999999999998,13758.4,28100.0,11378.4,3065.2,1328.4,174.8,54602.0,2754.0,39728.0,96550.0,42672.0,7526.0,5162.0,890.0,181694.0,195266.0,42.0,39.0,14.0,2.0,-14.0,-41.0,-13.0,-37.0,-4.0,-13.0,-2.0,-3.0,2013-06-16
124,2013,24,40.0,4.0,1.440735275,103.791388,POINT (103.791388 1.440735275),WOODLANDS,NORTH REGION,4.0,130.0,1039.0,0.6904761904761905,,,,51.8,34.3,1,29.271428571428572,8.757142857142858,24.5,78.0087168758717,2514.0,6507.2,29788.4,27302.4,3352.4,116.4,30.799999999999997,66112.0,5512.0,18460.0,106908.0,106170.0,9626.0,588.0,954.0,237050.0,248218.0,42.0,39.0,14.0,2.0,-14.0,-41.0,-13.0,-37.0,-4.0,-13.0,-2.0,-3.0,2013-06-16
133,2013,24,49.0,3.0,1.4295035,103.8448142,POINT (103.8448142 1.4295035),YISHUN,NORTH REGION,126.0,130.0,1039.0,0.6904761904761905,,,,51.8,34.3,1,29.271428571428572,8.757142857142858,24.5,78.0087168758717,1425.1999999999998,13758.4,28100.0,11378.4,3065.2,1328.4,174.8,54602.0,2754.0,39728.0,96550.0,42672.0,7526.0,5162.0,890.0,181694.0,195266.0,42.0,39.0,14.0,2.0,-14.0,-41.0,-13.0,-37.0,-4.0,-13.0,-2.0,-3.0,2013-06-16
142,2013,24,58.0,2.0,1.4252539,103.8338427,POINT (103.83384269999999 1.4252539),YISHUN,NORTH REGION,126.0,130.0,1039.0,0.6904761904761905,,,,51.8,34.3,1,29.271428571428572,8.757142857142858,24.5,78.0087168758717,1425.1999999999998,13758.4,28100.0,11378.4,3065.2,1328.4,174.8,54602.0,2754.0,39728.0,96550.0,42672.0,7526.0,5162.0,890.0,181694.0,195266.0,42.0,39.0,14.0,2.0,-14.0,-41.0,-13.0,-37.0,-4.0,-13.0,-2.0,-3.0,2013-06-16
