,year,week,cluster_sn,no_cases,latitude,longitude,point,pln_area_n,region_n,pln_total_cases,reg_total_cases,total_cases,total_daily_rainfall,highest_30min_rainfall,highest_60min_rainfall,highest_120min_rainfall,max_wind_sp,max_temp,rainy_day,mean_temp,mean_wind_sp,min_temp,humidity,hdb_1_and_2_room_flats_hse,hdb_3_room_flats_hse,hdb_4_room_flats_hse,hdb_5_room_and_executive_flats_hse,condominiums_and_other_apartments_hse,landed_properties_hse,others_hse,total_hdb_hse,hdb_1_and_2_room_flats_pop,hdb_3_room_flats_pop,hdb_4_room_flats_pop,hdb_5_room_and_executive_flats_pop,condominiums_and_other_apartments_pop,landed_properties_pop,others_pop,total_hdb_pop,total_pop,dengue_fever,dengue,mosquito,insect_repellent,dengue_fever_diff,dengue_fever_2nd_diff,dengue_diff,dengue_2nd_diff,mosquito_diff,mosquito_2nd_diff,insect_repellent_diff,insect_repellent_2nd_diff,date
13,2013,21,14.0,10.0,1.375499625,103.891153825,POINT (103.891153825 1.375499625),HOUGANG,NORTH-EAST REGION,24.0,60.0,596.0,6.03125,,,,38.9,34.9,1,28.00625,4.68125,22.7,81.61597248094392,1034.0,9705.6,25276.4,14595.2,6527.2,5854.4,202.8,50909.6,2872.0,26778.0,88402.0,56070.0,18626.0,22314.0,4072.0,175066.0,220066.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
15,2013,21,16.0,8.0,1.34813642,103.8660376,POINT (103.8660376 1.34813642),SERANGOON,NORTH-EAST REGION,30.0,60.0,596.0,6.03125,,,,38.9,34.9,1,28.00625,4.68125,22.7,81.61597248094392,250.4,4684.8,10749.6,6620.8,4896.0,10244.4,232.0,22422.0,772.0,11648.0,36436.0,23442.0,13304.0,35158.0,1174.0,72684.0,122314.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
16,2013,21,17.0,8.0,1.37003915,103.88161075,POINT (103.88161075 1.37003915),HOUGANG,NORTH-EAST REGION,24.0,60.0,596.0,6.03125,,,,38.9,34.9,1,28.00625,4.68125,22.7,81.61597248094392,1034.0,9705.6,25276.4,14595.2,6527.2,5854.4,202.8,50909.6,2872.0,26778.0,88402.0,56070.0,18626.0,22314.0,4072.0,175066.0,220066.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
22,2013,21,23.0,6.0,1.368230066666667,103.87345578333333,POINT (103.87345578333333 1.3682300666666667),SERANGOON,NORTH-EAST REGION,30.0,60.0,596.0,6.03125,,,,38.9,34.9,1,28.00625,4.68125,22.7,81.61597248094392,250.4,4684.8,10749.6,6620.8,4896.0,10244.4,232.0,22422.0,772.0,11648.0,36436.0,23442.0,13304.0,35158.0,1174.0,72684.0,122314.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
28,2013,21,29.0,4.0,1.3480189,103.8749029,POINT (103.8749029 1.3480189),SERANGOON,NORTH-EAST REGION,30.0,60.0,596.0,6.03125,,,,38.9,34.9,1,28.00625,4.68125,22.7,81.61597248094392,250.4,4684.8,10749.6,6620.8,4896.0,10244.4,232.0,22422.0,772.0,11648.0,36436.0,23442.0,13304.0,35158.0,1174.0,72684.0,122314.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
31,2013,21,32.0,3.0,1.36447915,103.8774113,POINT (103.8774113 1.36447915),HOUGANG,NORTH-EAST REGION,24.0,60.0,596.0,6.03125,,,,38.9,34.9,1,28.00625,4.68125,22.7,81.61597248094392,1034.0,9705.6,25276.4,14595.2,6527.2,5854.4,202.8,50909.6,2872.0,26778.0,88402.0,56070.0,18626.0,22314.0,4072.0,175066.0,220066.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
32,2013,21,33.0,3.0,1.3883276666666664,103.89868266666667,POINT (103.89868266666667 1.3883276666666664),SENGKANG,NORTH-EAST REGION,6.0,60.0,596.0,6.03125,,,,38.9,34.9,1,28.00625,4.68125,22.7,81.61597248094392,1107.6,1417.6,24718.4,26562.4,3542.4,466.4,0.0,53806.0,3382.0,4868.0,80236.0,90222.0,10052.0,1574.0,490.0,178712.0,190828.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
35,2013,21,36.0,3.0,1.3633865,103.86400443333332,POINT (103.86400443333333 1.3633865),SERANGOON,NORTH-EAST REGION,30.0,60.0,596.0,6.03125,,,,38.9,34.9,1,28.00625,4.68125,22.7,81.61597248094392,250.4,4684.8,10749.6,6620.8,4896.0,10244.4,232.0,22422.0,772.0,11648.0,36436.0,23442.0,13304.0,35158.0,1174.0,72684.0,122314.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
36,2013,21,37.0,3.0,1.38529395,103.8945645,POINT (103.8945645 1.3852939499999999),SENGKANG,NORTH-EAST REGION,6.0,60.0,596.0,6.03125,,,,38.9,34.9,1,28.00625,4.68125,22.7,81.61597248094392,1107.6,1417.6,24718.4,26562.4,3542.4,466.4,0.0,53806.0,3382.0,4868.0,80236.0,90222.0,10052.0,1574.0,490.0,178712.0,190828.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
37,2013,21,38.0,3.0,1.3582732999999998,103.871926,POINT (103.87192599999999 1.3582732999999998),SERANGOON,NORTH-EAST REGION,30.0,60.0,596.0,6.03125,,,,38.9,34.9,1,28.00625,4.68125,22.7,81.61597248094392,250.4,4684.8,10749.6,6620.8,4896.0,10244.4,232.0,22422.0,772.0,11648.0,36436.0,23442.0,13304.0,35158.0,1174.0,72684.0,122314.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
38,2013,21,39.0,3.0,1.3548006666666668,103.87173413333332,POINT (103.87173413333333 1.3548006666666668),SERANGOON,NORTH-EAST REGION,30.0,60.0,596.0,6.03125,,,,38.9,34.9,1,28.00625,4.68125,22.7,81.61597248094392,250.4,4684.8,10749.6,6620.8,4896.0,10244.4,232.0,22422.0,772.0,11648.0,36436.0,23442.0,13304.0,35158.0,1174.0,72684.0,122314.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
39,2013,21,40.0,3.0,1.3699889,103.8725304,POINT (103.8725304 1.3699889),SERANGOON,NORTH-EAST REGION,30.0,60.0,596.0,6.03125,,,,38.9,34.9,1,28.00625,4.68125,22.7,81.61597248094392,250.4,4684.8,10749.6,6620.8,4896.0,10244.4,232.0,22422.0,772.0,11648.0,36436.0,23442.0,13304.0,35158.0,1174.0,72684.0,122314.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
40,2013,21,41.0,3.0,1.3576645,103.8825205,POINT (103.8825205 1.3576645),HOUGANG,NORTH-EAST REGION,24.0,60.0,596.0,6.03125,,,,38.9,34.9,1,28.00625,4.68125,22.7,81.61597248094392,1034.0,9705.6,25276.4,14595.2,6527.2,5854.4,202.8,50909.6,2872.0,26778.0,88402.0,56070.0,18626.0,22314.0,4072.0,175066.0,220066.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
52,2013,22,11.0,13.0,1.3484861714285716,103.86615872857143,POINT (103.86615872857143 1.3484861714285716),SERANGOON,NORTH-EAST REGION,36.0,67.0,612.0,8.514285714285714,,,,64.8,35.5,1,27.95357142857143,4.964285714285714,22.2,81.61597248094392,250.4,4684.8,10749.6,6620.8,4896.0,10244.4,232.0,22422.0,772.0,11648.0,36436.0,23442.0,13304.0,35158.0,1174.0,72684.0,122314.0,29.0,28.0,9.0,3.0,-4.0,,-2.0,,-1.0,,1.0,,2013-06-02
55,2013,22,14.0,11.0,1.37537828,103.89119008,POINT (103.89119008 1.37537828),HOUGANG,NORTH-EAST REGION,25.0,67.0,612.0,8.514285714285714,,,,64.8,35.5,1,27.95357142857143,4.964285714285714,22.2,81.61597248094392,1034.0,9705.6,25276.4,14595.2,6527.2,5854.4,202.8,50909.6,2872.0,26778.0,88402.0,56070.0,18626.0,22314.0,4072.0,175066.0,220066.0,29.0,28.0,9.0,3.0,-4.0,,-2.0,,-1.0,,1.0,,2013-06-02
57,2013,22,16.0,8.0,1.37003915,103.88161075,POINT (103.88161075 1.37003915),HOUGANG,NORTH-EAST REGION,25.0,67.0,612.0,8.514285714285714,,,,64.8,35.5,1,27.95357142857143,4.964285714285714,22.2,81.61597248094392,1034.0,9705.6,25276.4,14595.2,6527.2,5854.4,202.8,50909.6,2872.0,26778.0,88402.0,56070.0,18626.0,22314.0,4072.0,175066.0,220066.0,29.0,28.0,9.0,3.0,-4.0,,-2.0,,-1.0,,1.0,,2013-06-02
63,2013,22,22.0,6.0,1.3484136,103.8749616,POINT (103.8749616 1.3484136),SERANGOON,NORTH-EAST REGION,36.0,67.0,612.0,8.514285714285714,,,,64.8,35.5,1,27.95357142857143,4.964285714285714,22.2,81.61597248094392,250.4,4684.8,10749.6,6620.8,4896.0,10244.4,232.0,22422.0,772.0,11648.0,36436.0,23442.0,13304.0,35158.0,1174.0,72684.0,122314.0,29.0,28.0,9.0,3.0,-4.0,,-2.0,,-1.0,,1.0,,2013-06-02
