,year,week,cluster_sn,no_cases,latitude,longitude,point,pln_area_n,region_n,pln_total_cases,reg_total_cases,total_cases,total_daily_rainfall,highest_30min_rainfall,highest_60min_rainfall,highest_120min_rainfall,max_wind_sp,max_temp,rainy_day,mean_temp,mean_wind_sp,min_temp,humidity,hdb_1_and_2_room_flats_hse,hdb_3_room_flats_hse,hdb_4_room_flats_hse,hdb_5_room_and_executive_flats_hse,condominiums_and_other_apartments_hse,landed_properties_hse,others_hse,total_hdb_hse,hdb_1_and_2_room_flats_pop,hdb_3_room_flats_pop,hdb_4_room_flats_pop,hdb_5_room_and_executive_flats_pop,condominiums_and_other_apartments_pop,landed_properties_pop,others_pop,total_hdb_pop,total_pop,dengue_fever,dengue,mosquito,insect_repellent,dengue_fever_diff,dengue_fever_2nd_diff,dengue_diff,dengue_2nd_diff,mosquito_diff,mosquito_2nd_diff,insect_repellent_diff,insect_repellent_2nd_diff,date
3,2013,21,4.0,39.0,1.340842766666667,103.71955211666666,POINT (103.71955211666666 1.3408427666666667),JURONG WEST,WEST REGION,46.0,90.0,596.0,4.107142857142857,,,,53.3,34.3,1,28.340740740740745,6.707142857142857,23.5,86.20422291636244,2255.6,12213.6,30839.2,29377.6,4468.0,1008.8,30.0,74686.8,5658.0,34962.0,107110.0,106156.0,12002.0,4280.0,442.0,253890.0,270604.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
6,2013,21,7.0,22.0,1.3917534,103.746213075,POINT (103.746213075 1.3917534),CHOA CHU KANG,WEST REGION,41.0,90.0,596.0,4.107142857142857,,,,53.3,34.3,1,28.340740740740745,6.707142857142857,23.5,86.20422291636244,1079.6,1491.2,21222.8,19449.2,4710.8,791.2,60.0,43242.8,2700.0,4860.0,75942.0,72748.0,14724.0,2518.0,432.0,156246.0,173914.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
11,2013,21,12.0,12.0,1.3931262,103.7425849,POINT (103.7425849 1.3931262),CHOA CHU KANG,WEST REGION,41.0,90.0,596.0,4.107142857142857,,,,53.3,34.3,1,28.340740740740745,6.707142857142857,23.5,86.20422291636244,1079.6,1491.2,21222.8,19449.2,4710.8,791.2,60.0,43242.8,2700.0,4860.0,75942.0,72748.0,14724.0,2518.0,432.0,156246.0,173914.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
18,2013,21,19.0,7.0,1.39564762,103.74445620000002,POINT (103.74445620000002 1.39564762),CHOA CHU KANG,WEST REGION,41.0,90.0,596.0,4.107142857142857,,,,53.3,34.3,1,28.340740740740745,6.707142857142857,23.5,86.20422291636244,1079.6,1491.2,21222.8,19449.2,4710.8,791.2,60.0,43242.8,2700.0,4860.0,75942.0,72748.0,14724.0,2518.0,432.0,156246.0,173914.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
19,2013,21,20.0,7.0,1.34550342,103.71938176,POINT (103.71938176 1.34550342),JURONG WEST,WEST REGION,46.0,90.0,596.0,4.107142857142857,,,,53.3,34.3,1,28.340740740740745,6.707142857142857,23.5,86.20422291636244,2255.6,12213.6,30839.2,29377.6,4468.0,1008.8,30.0,74686.8,5658.0,34962.0,107110.0,106156.0,12002.0,4280.0,442.0,253890.0,270604.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
30,2013,21,31.0,3.0,1.3572430000000002,103.7503172,POINT (103.7503172 1.3572430000000002),BUKIT BATOK,WEST REGION,3.0,90.0,596.0,4.107142857142857,,,,53.3,34.3,1,28.340740740740745,6.707142857142857,23.5,86.20422291636244,430.7999999999999,10268.0,15098.0,8068.8,8718.8,1365.6,163.2,33865.2,822.0,29050.0,51496.0,29324.0,24594.0,5164.0,800.0,110688.0,141242.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
45,2013,22,4.0,41.0,1.340842766666667,103.71955211666666,POINT (103.71955211666666 1.3408427666666667),JURONG WEST,WEST REGION,48.0,93.0,612.0,1.606122448979592,,,,72.7,34.7,1,28.446666666666665,7.03469387755102,22.9,86.20422291636244,2255.6,12213.6,30839.2,29377.6,4468.0,1008.8,30.0,74686.8,5658.0,34962.0,107110.0,106156.0,12002.0,4280.0,442.0,253890.0,270604.0,29.0,28.0,9.0,3.0,-4.0,,-2.0,,-1.0,,1.0,,2013-06-02
48,2013,22,7.0,23.0,1.3917534,103.746213075,POINT (103.746213075 1.3917534),CHOA CHU KANG,WEST REGION,42.0,93.0,612.0,1.606122448979592,,,,72.7,34.7,1,28.446666666666665,7.03469387755102,22.9,86.20422291636244,1079.6,1491.2,21222.8,19449.2,4710.8,791.2,60.0,43242.8,2700.0,4860.0,75942.0,72748.0,14724.0,2518.0,432.0,156246.0,173914.0,29.0,28.0,9.0,3.0,-4.0,,-2.0,,-1.0,,1.0,,2013-06-02
53,2013,22,12.0,12.0,1.3930559428571427,103.7425886,POINT (103.7425886 1.3930559428571427),CHOA CHU KANG,WEST REGION,42.0,93.0,612.0,1.606122448979592,,,,72.7,34.7,1,28.446666666666665,7.03469387755102,22.9,86.20422291636244,1079.6,1491.2,21222.8,19449.2,4710.8,791.2,60.0,43242.8,2700.0,4860.0,75942.0,72748.0,14724.0,2518.0,432.0,156246.0,173914.0,29.0,28.0,9.0,3.0,-4.0,,-2.0,,-1.0,,1.0,,2013-06-02
59,2013,22,18.0,7.0,1.39564762,103.74445620000002,POINT (103.74445620000002 1.39564762),CHOA CHU KANG,WEST REGION,42.0,93.0,612.0,1.606122448979592,,,,72.7,34.7,1,28.446666666666665,7.03469387755102,22.9,86.20422291636244,1079.6,1491.2,21222.8,19449.2,4710.8,791.2,60.0,43242.8,2700.0,4860.0,75942.0,72748.0,14724.0,2518.0,432.0,156246.0,173914.0,29.0,28.0,9.0,3.0,-4.0,,-2.0,,-1.0,,1.0,,2013-06-02
