,week,dengue_fever,dengue,mosquito,insect_repellent,dengue_fever_diff,dengue_fever_2nd_diff,dengue_diff,dengue_2nd_diff,mosquito_diff,mosquito_2nd_diff,insect_repellent_diff,insect_repellent_2nd_diff
0,2013-05-26,33,30,10,2,,,,,,,,
1,2013-06-02,29,28,9,3,-4.0,,-2.0,,-1.0,,1.0,
2,2013-06-09,56,52,18,4,27.0,31.0,24.0,26.0,9.0,10.0,1.0,0.0
3,2013-06-16,42,39,14,2,-14.0,-41.0,-13.0,-37.0,-4.0,-13.0,-2.0,-3.0
4,2013-06-23,25,23,8,2,-17.0,-3.0,-16.0,-3.0,-6.0,-2.0,0.0,2.0
5,2013-06-30,26,24,9,3,1.0,18.0,1.0,17.0,1.0,7.0,1.0,1.0
6,2013-07-07,18,17,8,1,-8.0,-9.0,-7.0,-8.0,-1.0,-2.0,-2.0,-3.0
7,2013-07-14,16,16,8,3,-2.0,6.0,-1.0,6.0,0.0,1.0,2.0,4.0
8,2013-07-21,14,13,8,2,-2.0,0.0,-3.0,-2.0,0.0,0.0,-1.0,-3.0
9,2013-07-28,12,11,9,1,-2.0,0.0,-2.0,1.0,1.0,1.0,-1.0,0.0
10,2013-08-04,11,9,9,2,-1.0,1.0,-2.0,0.0,0.0,-1.0,1.0,2.0
11,2013-08-11,13,13,8,0,2.0,3.0,4.0,6.0,-1.0,-1.0,-2.0,-3.0
12,2013-08-18,12,11,7,2,-1.0,-3.0,-2.0,-6.0,-1.0,0.0,2.0,4.0
13,2013-08-25,11,11,7,1,-1.0,0.0,0.0,2.0,0.0,1.0,-1.0,-3.0
14,2013-09-01,9,9,5,1,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,0.0,1.0
15,2013-09-08,12,11,6,2,3.0,5.0,2.0,4.0,1.0,3.0,1.0,1.0
16,2013-09-15,11,10,6,1,-1.0,-4.0,-1.0,-3.0,0.0,-1.0,-1.0,-2.0
17,2013-09-22,9,8,5,1,-2.0,-1.0,-2.0,-1.0,-1.0,-1.0,0.0,1.0
18,2013-09-29,15,13,5,2,6.0,8.0,5.0,7.0,0.0,1.0,1.0,1.0
19,2013-10-06,13,13,6,1,-2.0,-8.0,0.0,-5.0,1.0,1.0,-1.0,-2.0
20,2013-10-13,11,10,8,1,-2.0,0.0,-3.0,-3.0,2.0,1.0,0.0,1.0
21,2013-10-20,15,15,7,2,4.0,6.0,5.0,8.0,-1.0,-3.0,1.0,1.0
22,2013-10-27,12,11,5,2,-3.0,-7.0,-4.0,-9.0,-2.0,-1.0,0.0,-1.0
23,2013-11-03,12,11,7,2,0.0,3.0,0.0,4.0,2.0,4.0,0.0,0.0
24,2013-11-10,12,11,6,1,0.0,0.0,0.0,0.0,-1.0,-3.0,-1.0,-1.0
25,2013-11-17,13,13,9,1,1.0,1.0,2.0,2.0,3.0,4.0,0.0,1.0
26,2013-11-24,11,10,6,2,-2.0,-3.0,-3.0,-5.0,-3.0,-6.0,1.0,1.0
27,2013-12-01,11,9,6,2,0.0,2.0,-1.0,2.0,0.0,3.0,0.0,-1.0
28,2013-12-08,9,9,6,1,-2.0,-2.0,0.0,1.0,0.0,0.0,-1.0,-1.0
29,2013-12-15,10,10,5,2,1.0,3.0,1.0,1.0,-1.0,-1.0,1.0,2.0
30,2013-12-22,9,8,6,2,-1.0,-2.0,-2.0,-3.0,1.0,2.0,0.0,-1.0
31,2013-12-29,9,8,7,2,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
32,2014-01-05,12,11,5,2,3.0,3.0,3.0,3.0,-2.0,-3.0,0.0,0.0
33,2014-01-12,11,10,4,1,-1.0,-4.0,-1.0,-4.0,-1.0,1.0,-1.0,-1.0
34,2014-01-19,9,8,4,1,-2.0,-1.0,-2.0,-1.0,0.0,1.0,0.0,1.0
35,2014-01-26,7,6,7,1,-2.0,0.0,-2.0,0.0,3.0,3.0,0.0,0.0
36,2014-02-02,7,8,8,2,0.0,2.0,2.0,4.0,1.0,-2.0,1.0,1.0
37,2014-02-09,10,9,13,3,3.0,3.0,1.0,-1.0,5.0,4.0,1.0,0.0
38,2014-02-16,8,9,12,2,-2.0,-5.0,0.0,-1.0,-1.0,-6.0,-1.0,-2.0
39,2014-02-23,9,9,20,4,1.0,3.0,0.0,0.0,8.0,9.0,2.0,3.0
40,2014-03-02,10,8,20,4,1.0,0.0,-1.0,-1.0,0.0,-8.0,0.0,-2.0
41,2014-03-09,6,6,19,2,-4.0,-5.0,-2.0,-1.0,-1.0,-1.0,-2.0,-2.0
42,2014-03-16,6,5,12,1,0.0,4.0,-1.0,1.0,-7.0,-6.0,-1.0,1.0
43,2014-03-23,7,6,8,2,1.0,1.0,1.0,2.0,-4.0,3.0,1.0,2.0
44,2014-03-30,8,7,13,2,1.0,0.0,1.0,0.0,5.0,9.0,0.0,-1.0
45,2014-04-06,6,5,8,2,-2.0,-3.0,-2.0,-3.0,-5.0,-10.0,0.0,0.0
46,2014-04-13,7,7,9,3,1.0,3.0,2.0,4.0,1.0,6.0,1.0,1.0
47,2014-04-20,8,8,10,2,1.0,0.0,1.0,-1.0,1.0,0.0,-1.0,-2.0
48,2014-04-27,9,8,10,1,1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0
49,2014-05-04,5,6,10,2,-4.0,-5.0,-2.0,-2.0,0.0,0.0,1.0,2.0
50,2014-05-11,7,7,9,3,2.0,6.0,1.0,3.0,-1.0,-1.0,1.0,0.0
51,2014-05-18,8,7,9,2,1.0,-1.0,0.0,-1.0,0.0,1.0,-1.0,-2.0
52,2014-05-25,9,9,10,1,1.0,0.0,2.0,2.0,1.0,1.0,-1.0,0.0
53,2014-06-01,8,7,9,3,-1.0,-2.0,-2.0,-4.0,-1.0,-2.0,2.0,3.0
54,2014-06-08,10,10,7,2,2.0,3.0,3.0,5.0,-2.0,-1.0,-1.0,-3.0
55,2014-06-15,12,10,8,2,2.0,0.0,0.0,-3.0,1.0,3.0,0.0,1.0
56,2014-06-22,11,9,10,2,-1.0,-3.0,-1.0,-1.0,2.0,1.0,0.0,0.0
57,2014-06-29,14,13,9,2,3.0,4.0,4.0,5.0,-1.0,-3.0,0.0,0.0
58,2014-07-06,19,18,8,1,5.0,2.0,5.0,1.0,-1.0,0.0,-1.0,-1.0
59,2014-07-13,17,15,8,1,-2.0,-7.0,-3.0,-8.0,0.0,1.0,0.0,1.0
60,2014-07-20,18,15,11,1,1.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0
61,2014-07-27,14,12,8,2,-4.0,-5.0,-3.0,-3.0,-3.0,-6.0,1.0,1.0
62,2014-08-03,15,14,9,1,1.0,5.0,2.0,5.0,1.0,4.0,-1.0,-2.0
63,2014-08-10,14,13,9,2,-1.0,-2.0,-1.0,-3.0,0.0,-1.0,1.0,2.0
64,2014-08-17,15,14,8,1,1.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,-2.0
65,2014-08-24,12,11,10,2,-3.0,-4.0,-3.0,-4.0,2.0,3.0,1.0,2.0
66,2014-08-31,11,9,6,1,-1.0,2.0,-2.0,1.0,-4.0,-6.0,-1.0,-2.0
67,2014-09-07,8,8,8,2,-3.0,-2.0,-1.0,1.0,2.0,6.0,1.0,2.0
68,2014-09-14,8,8,8,2,0.0,3.0,0.0,1.0,0.0,-2.0,0.0,-1.0
69,2014-09-21,7,6,6,4,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0
70,2014-09-28,9,9,5,2,2.0,3.0,3.0,5.0,-1.0,1.0,-2.0,-4.0
71,2014-10-05,7,6,4,1,-2.0,-4.0,-3.0,-6.0,-1.0,0.0,-1.0,1.0
72,2014-10-12,6,6,6,1,-1.0,1.0,0.0,3.0,2.0,3.0,0.0,1.0
73,2014-10-19,8,7,6,1,2.0,3.0,1.0,1.0,0.0,-2.0,0.0,0.0
74,2014-10-26,8,8,7,2,0.0,-2.0,1.0,0.0,1.0,1.0,1.0,1.0
75,2014-11-02,5,4,5,1,-3.0,-3.0,-4.0,-5.0,-2.0,-3.0,-1.0,-2.0
76,2014-11-09,6,6,5,2,1.0,4.0,2.0,6.0,0.0,2.0,1.0,2.0
77,2014-11-16,6,6,5,1,0.0,-1.0,0.0,-2.0,0.0,0.0,-1.0,-2.0
78,2014-11-23,8,6,5,2,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
79,2014-11-30,6,6,5,1,-2.0,-4.0,0.0,0.0,0.0,0.0,-1.0,-2.0
80,2014-12-07,6,5,6,1,0.0,2.0,-1.0,-1.0,1.0,1.0,0.0,1.0
81,2014-12-14,5,5,6,1,-1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,0.0
82,2014-12-21,4,4,4,2,-1.0,0.0,-1.0,-1.0,-2.0,-2.0,1.0,1.0
83,2014-12-28,7,5,5,1,3.0,4.0,1.0,2.0,1.0,3.0,-1.0,-2.0
84,2015-01-04,5,5,5,2,-2.0,-5.0,0.0,-1.0,0.0,-1.0,1.0,2.0
85,2015-01-11,7,7,5,1,2.0,4.0,2.0,2.0,0.0,0.0,-1.0,-2.0
86,2015-01-18,5,5,5,2,-2.0,-4.0,-2.0,-4.0,0.0,0.0,1.0,2.0
87,2015-01-25,7,7,7,2,2.0,4.0,2.0,4.0,2.0,2.0,0.0,-1.0
88,2015-02-01,6,5,6,1,-1.0,-3.0,-2.0,-4.0,-1.0,-3.0,-1.0,-1.0
