,yr,week,region,no_cases,total_daily_rainfall,max_wind_sp,max_temp,rainy_day,mean_temp,mean_wind_sp,min_temp,dengue_fever,dengue,mosquito,insect_repellent,dengue_fever_diff,dengue_fever_2nd_diff,dengue_diff,dengue_2nd_diff,mosquito_diff,mosquito_2nd_diff,insect_repellent_diff,insect_repellent_2nd_diff
0,2013,21,Central,85,92.4,43.9,34.3,1,28.5,4.7700000000000005,23.7,33.0,30.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2013,22,Central,99,122.99999999999999,88.9,33.8,1,28.3,5.74,23.8,29.0,28.0,9.0,3.0,-4.0,0.0,-2.0,0.0,-1.0,0.0,1.0,0.0
2,2013,23,Central,193,375.0,43.9,35.4,1,28.3,6.2,23.4,56.0,52.0,18.0,4.0,27.0,31.0,24.0,26.0,9.0,10.0,1.0,0.0
3,2013,24,Central,141,65.9,91.8,34.8,1,30.0,7.182857142857143,23.9,42.0,39.0,14.0,2.0,-14.0,-41.0,-13.0,-37.0,-4.0,-13.0,-2.0,-3.0
4,2013,25,Central,119,0.0,40.7,35.3,0,30.5,7.034285714285714,25.6,25.0,23.0,8.0,2.0,-17.0,-3.0,-16.0,-3.0,-6.0,-2.0,0.0,2.0
5,2013,26,Central,160,123.7,47.2,34.9,1,29.2,5.859999999999999,23.7,26.0,24.0,9.0,3.0,1.0,18.0,1.0,17.0,1.0,7.0,1.0,1.0
6,2013,27,Central,281,80.1,51.5,33.6,1,28.5,7.16,23.2,18.0,17.0,8.0,1.0,-8.0,-9.0,-7.0,-8.0,-1.0,-2.0,-2.0,-3.0
7,2013,28,Central,273,448.4,49.3,33.2,1,27.8,6.285714285714286,22.3,16.0,16.0,8.0,3.0,-2.0,6.0,-1.0,6.0,0.0,1.0,2.0,4.0
8,2013,29,Central,220,84.3,60.5,34.6,1,28.1,6.7542857142857144,24.0,14.0,13.0,8.0,2.0,-2.0,0.0,-3.0,-2.0,0.0,0.0,-1.0,-3.0
9,2013,30,Central,147,112.9,43.6,34.4,1,28.5,7.377142857142857,23.1,12.0,11.0,9.0,1.0,-2.0,0.0,-2.0,1.0,1.0,1.0,-1.0,0.0
10,2013,31,Central,193,180.2,53.3,33.3,1,28.1,7.702857142857144,22.0,11.0,9.0,9.0,2.0,-1.0,1.0,-2.0,0.0,0.0,-1.0,1.0,2.0
11,2013,32,Central,122,423.9,50.8,33.0,1,27.6,7.428571428571429,21.7,13.0,13.0,8.0,0.0,2.0,3.0,4.0,6.0,-1.0,-1.0,-2.0,-3.0
12,2013,33,Central,97,181.6,51.1,32.5,1,27.9,7.017142857142857,21.2,12.0,11.0,7.0,2.0,-1.0,-3.0,-2.0,-6.0,-1.0,0.0,2.0,4.0
13,2013,34,Central,87,0.4,48.2,33.7,1,28.8,7.074285714285714,25.7,11.0,11.0,7.0,1.0,-1.0,0.0,0.0,2.0,0.0,1.0,-1.0,-3.0
14,2013,35,Central,89,143.0,48.6,34.0,1,28.3,7.277142857142857,21.6,9.0,9.0,5.0,1.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,0.0,1.0
15,2013,36,Central,103,798.2,43.6,32.9,1,26.6,6.045714285714285,21.9,12.0,11.0,6.0,2.0,3.0,5.0,2.0,4.0,1.0,3.0,1.0,1.0
16,2013,37,Central,153,267.7,45.4,32.7,1,27.5,6.914285714285715,22.8,11.0,10.0,6.0,1.0,-1.0,-4.0,-1.0,-3.0,0.0,-1.0,-1.0,-2.0
17,2013,38,Central,193,36.9,41.8,34.3,1,28.8,7.977142857142857,24.0,9.0,8.0,5.0,1.0,-2.0,-1.0,-2.0,-1.0,-1.0,-1.0,0.0,1.0
18,2013,39,Central,193,472.7,52.2,34.1,1,28.4,7.082857142857143,22.5,15.0,13.0,5.0,2.0,6.0,8.0,5.0,7.0,0.0,1.0,1.0,1.0
19,2013,40,Central,193,152.9,55.4,33.8,1,28.1,7.288571428571428,21.5,13.0,13.0,6.0,1.0,-2.0,-8.0,0.0,-5.0,1.0,1.0,-1.0,-2.0
20,2013,41,Central,193,400.5,52.6,34.3,1,28.3,7.0,22.4,11.0,10.0,8.0,1.0,-2.0,0.0,-3.0,-3.0,2.0,1.0,0.0,1.0
21,2013,42,Central,193,788.9,52.9,34.1,1,28.2,7.408571428571429,22.2,15.0,15.0,7.0,2.0,4.0,6.0,5.0,8.0,-1.0,-3.0,1.0,1.0
22,2013,43,Central,193,193.7,46.4,34.0,1,27.9,6.6171428571428565,22.8,12.0,11.0,5.0,2.0,-3.0,-7.0,-4.0,-9.0,-2.0,-1.0,0.0,-1.0
23,2013,44,Central,227,405.8,56.5,34.0,1,27.3,5.16,22.0,12.0,11.0,7.0,2.0,0.0,3.0,0.0,4.0,2.0,4.0,0.0,0.0
24,2013,45,Central,199,353.9,45.0,34.3,1,27.6,5.831428571428571,21.9,12.0,11.0,6.0,1.0,0.0,0.0,0.0,0.0,-1.0,-3.0,-1.0,-1.0
25,2013,46,Central,226,549.7,82.4,34.0,1,27.0,5.442857142857143,23.0,13.0,13.0,9.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,0.0,1.0
26,2013,47,Central,269,291.8,50.0,34.0,1,27.7,6.4314285714285715,22.2,11.0,10.0,6.0,2.0,-2.0,-3.0,-3.0,-5.0,-3.0,-6.0,1.0,1.0
27,2013,48,Central,287,507.1,51.5,33.9,1,27.2,5.974285714285714,22.5,11.0,9.0,6.0,2.0,0.0,2.0,-1.0,2.0,0.0,3.0,0.0,-1.0
28,2013,49,Central,190,487.5,73.4,32.6,1,26.0,6.514285714285714,23.0,9.0,9.0,6.0,1.0,-2.0,-2.0,0.0,1.0,0.0,0.0,-1.0,-1.0
29,2013,50,Central,205,304.3,40.7,33.7,1,27.4,6.674285714285714,23.1,10.0,10.0,5.0,2.0,1.0,3.0,1.0,1.0,-1.0,-1.0,1.0,2.0
30,2013,51,Central,203,348.7,65.2,35.0,1,27.0,8.154285714285713,20.9,9.0,8.0,6.0,2.0,-1.0,-2.0,-2.0,-3.0,1.0,2.0,0.0,-1.0
31,2013,52,Central,174,84.4,46.4,31.5,1,26.8,11.634375,23.7,9.0,8.0,7.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
32,2014,1,Central,48,153.1,44.3,32.3,1,26.4,9.6525,23.4,12.0,11.0,5.0,2.0,3.0,3.0,3.0,3.0,-2.0,-3.0,0.0,0.0
33,2014,2,Central,452,200.4,50.0,34.0,1,26.7,7.848571428571428,23.6,11.0,10.0,4.0,1.0,-1.0,-4.0,-1.0,-4.0,-1.0,1.0,-1.0,-1.0
34,2014,3,Central,262,1.6,48.2,31.0,1,26.4,13.454285714285714,23.6,9.0,8.0,4.0,1.0,-2.0,-1.0,-2.0,-1.0,0.0,1.0,0.0,1.0
35,2014,4,Central,193,0.0,45.4,31.0,0,25.9,13.2,22.7,7.0,6.0,7.0,1.0,-2.0,0.0,-2.0,0.0,3.0,3.0,0.0,0.0
36,2014,5,Central,193,0.0,47.5,34.3,0,26.3,11.688571428571429,22.1,7.0,8.0,8.0,2.0,0.0,2.0,2.0,4.0,1.0,-2.0,1.0,1.0
37,2014,6,Central,85,37.1,37.4,34.9,1,26.7,8.685714285714285,23.2,10.0,9.0,13.0,3.0,3.0,3.0,1.0,-1.0,5.0,4.0,1.0,0.0
38,2014,7,Central,70,0.6,44.3,34.2,1,27.7,11.431428571428572,24.4,8.0,9.0,12.0,2.0,-2.0,-5.0,0.0,-1.0,-1.0,-6.0,-1.0,-2.0
39,2014,8,Central,193,0.0,53.6,33.1,0,27.6,12.92,22.0,9.0,9.0,20.0,4.0,1.0,3.0,0.0,0.0,8.0,9.0,2.0,3.0
40,2014,9,Central,193,0.0,47.2,34.1,0,27.5,12.382857142857143,23.9,10.0,8.0,20.0,4.0,1.0,0.0,-1.0,-1.0,0.0,-8.0,0.0,-2.0
41,2014,10,Central,12,0.0,42.1,35.1,0,27.7,11.1,24.0,6.0,6.0,19.0,2.0,-4.0,-5.0,-2.0,-1.0,-1.0,-1.0,-2.0,-2.0
42,2014,11,Central,32,190.1,75.2,34.8,1,27.9,11.208571428571428,23.7,6.0,5.0,12.0,1.0,0.0,4.0,-1.0,1.0,-7.0,-6.0,-1.0,1.0
43,2014,12,Central,193,306.3,42.5,33.8,1,27.3,7.517142857142858,23.6,7.0,6.0,8.0,2.0,1.0,1.0,1.0,2.0,-4.0,3.0,1.0,2.0
44,2014,13,Central,193,35.9,42.5,35.0,1,28.6,9.017142857142858,25.1,8.0,7.0,13.0,2.0,1.0,0.0,1.0,0.0,5.0,9.0,0.0,-1.0
