,yr,week,region,no_cases,dengue_fever,dengue,mosquito,insect_repellent,dengue_fever_diff,dengue_fever_2nd_diff,dengue_diff,dengue_2nd_diff,mosquito_diff,mosquito_2nd_diff,insect_repellent_diff,insect_repellent_2nd_diff
0,2013,1,North,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2013,21,North,84,33.0,30.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2013,22,North,85,29.0,28.0,9.0,3.0,-4.0,0.0,-2.0,0.0,-1.0,0.0,1.0,0.0
3,2013,24,North,130,42.0,39.0,14.0,2.0,-14.0,-41.0,-13.0,-37.0,-4.0,-13.0,-2.0,-3.0
4,2013,25,North,145,25.0,23.0,8.0,2.0,-17.0,-3.0,-16.0,-3.0,-6.0,-2.0,0.0,2.0
5,2013,26,North,174,26.0,24.0,9.0,3.0,1.0,18.0,1.0,17.0,1.0,7.0,1.0,1.0
6,2013,27,North,214,18.0,17.0,8.0,1.0,-8.0,-9.0,-7.0,-8.0,-1.0,-2.0,-2.0,-3.0
7,2013,28,North,239,16.0,16.0,8.0,3.0,-2.0,6.0,-1.0,6.0,0.0,1.0,2.0,4.0
8,2013,29,North,231,14.0,13.0,8.0,2.0,-2.0,0.0,-3.0,-2.0,0.0,0.0,-1.0,-3.0
9,2013,30,North,109,12.0,11.0,9.0,1.0,-2.0,0.0,-2.0,1.0,1.0,1.0,-1.0,0.0
10,2013,32,North,65,13.0,13.0,8.0,0.0,2.0,3.0,4.0,6.0,-1.0,-1.0,-2.0,-3.0
11,2013,33,North,70,12.0,11.0,7.0,2.0,-1.0,-3.0,-2.0,-6.0,-1.0,0.0,2.0,4.0
12,2013,34,North,64,11.0,11.0,7.0,1.0,-1.0,0.0,0.0,2.0,0.0,1.0,-1.0,-3.0
13,2013,35,North,9,9.0,9.0,5.0,1.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,0.0,1.0
14,2013,36,North,22,12.0,11.0,6.0,2.0,3.0,5.0,2.0,4.0,1.0,3.0,1.0,1.0
15,2013,37,North,29,11.0,10.0,6.0,1.0,-1.0,-4.0,-1.0,-3.0,0.0,-1.0,-1.0,-2.0
16,2013,44,North,47,12.0,11.0,7.0,2.0,0.0,3.0,0.0,4.0,2.0,4.0,0.0,0.0
17,2013,45,North,33,12.0,11.0,6.0,1.0,0.0,0.0,0.0,0.0,-1.0,-3.0,-1.0,-1.0
18,2013,46,North,31,13.0,13.0,9.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,0.0,1.0
19,2013,47,North,38,11.0,10.0,6.0,2.0,-2.0,-3.0,-3.0,-5.0,-3.0,-6.0,1.0,1.0
20,2013,48,North,38,11.0,9.0,6.0,2.0,0.0,2.0,-1.0,2.0,0.0,3.0,0.0,-1.0
21,2013,49,North,46,9.0,9.0,6.0,1.0,-2.0,-2.0,0.0,1.0,0.0,0.0,-1.0,-1.0
22,2013,50,North,40,10.0,10.0,5.0,2.0,1.0,3.0,1.0,1.0,-1.0,-1.0,1.0,2.0
23,2013,51,North,51,9.0,8.0,6.0,2.0,-1.0,-2.0,-2.0,-3.0,1.0,2.0,0.0,-1.0
24,2013,52,North,56,9.0,8.0,7.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
25,2014,1,North,3,12.0,11.0,5.0,2.0,3.0,3.0,3.0,3.0,-2.0,-3.0,0.0,0.0
26,2014,2,North,146,11.0,10.0,4.0,1.0,-1.0,-4.0,-1.0,-4.0,-1.0,1.0,-1.0,-1.0
27,2014,3,North,92,9.0,8.0,4.0,1.0,-2.0,-1.0,-2.0,-1.0,0.0,1.0,0.0,1.0
28,2014,6,North,22,10.0,9.0,13.0,3.0,3.0,3.0,1.0,-1.0,5.0,4.0,1.0,0.0
29,2014,7,North,13,8.0,9.0,12.0,2.0,-2.0,-5.0,0.0,-1.0,-1.0,-6.0,-1.0,-2.0
30,2014,10,North,8,6.0,6.0,19.0,2.0,-4.0,-5.0,-2.0,-1.0,-1.0,-1.0,-2.0,-2.0
31,2014,11,North,6,6.0,5.0,12.0,1.0,0.0,4.0,-1.0,1.0,-7.0,-6.0,-1.0,1.0
32,2014,14,North,8,6.0,5.0,8.0,2.0,-2.0,-3.0,-2.0,-3.0,-5.0,-10.0,0.0,0.0
33,2014,16,North,3,8.0,8.0,10.0,2.0,1.0,0.0,1.0,-1.0,1.0,0.0,-1.0,-2.0
34,2014,23,North,2,10.0,10.0,7.0,2.0,2.0,3.0,3.0,5.0,-2.0,-1.0,-1.0,-3.0
35,2014,27,North,9,19.0,18.0,8.0,1.0,5.0,2.0,5.0,1.0,-1.0,0.0,-1.0,-1.0
36,2014,29,North,35,18.0,15.0,11.0,1.0,1.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0
37,2014,30,North,30,14.0,12.0,8.0,2.0,-4.0,-5.0,-3.0,-3.0,-3.0,-6.0,1.0,1.0
38,2014,31,North,31,15.0,14.0,9.0,1.0,1.0,5.0,2.0,5.0,1.0,4.0,-1.0,-2.0
39,2014,32,North,33,14.0,13.0,9.0,2.0,-1.0,-2.0,-1.0,-3.0,0.0,-1.0,1.0,2.0
40,2014,33,North,40,15.0,14.0,8.0,1.0,1.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,-2.0
41,2014,39,North,22,9.0,9.0,5.0,2.0,2.0,3.0,3.0,5.0,-1.0,1.0,-2.0,-4.0
42,2014,40,North,17,7.0,6.0,4.0,1.0,-2.0,-4.0,-3.0,-6.0,-1.0,0.0,-1.0,1.0
43,2014,41,North,17,6.0,6.0,6.0,1.0,-1.0,1.0,0.0,3.0,2.0,3.0,0.0,1.0
44,2014,42,North,10,8.0,7.0,6.0,1.0,2.0,3.0,1.0,1.0,0.0,-2.0,0.0,0.0
45,2014,49,North,3,6.0,5.0,6.0,1.0,0.0,2.0,-1.0,-1.0,1.0,1.0,0.0,1.0
46,2014,50,North,2,5.0,5.0,6.0,1.0,-1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,0.0
47,2014,51,North,8,4.0,4.0,4.0,2.0,-1.0,0.0,-1.0,-1.0,-2.0,-2.0,1.0,1.0
48,2014,52,North,5,7.0,5.0,5.0,1.0,3.0,4.0,1.0,2.0,1.0,3.0,-1.0,-2.0
49,2015,1,North,11,5.0,5.0,5.0,2.0,-2.0,-5.0,0.0,-1.0,0.0,-1.0,1.0,2.0
50,2015,2,North,23,7.0,7.0,5.0,1.0,2.0,4.0,2.0,2.0,0.0,0.0,-1.0,-2.0
51,2015,3,North,9,5.0,5.0,5.0,2.0,-2.0,-4.0,-2.0,-4.0,0.0,0.0,1.0,2.0
52,2015,4,North,2,7.0,7.0,7.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,0.0,-1.0
53,2015,7,North,2,6.0,4.0,3.0,0.0,2.0,4.0,0.0,1.0,-2.0,-1.0,-1.0,-1.0
54,2015,8,North,6,6.0,6.0,5.0,1.0,0.0,-2.0,2.0,2.0,2.0,4.0,1.0,2.0
55,2015,9,North,15,5.0,4.0,7.0,1.0,-1.0,-1.0,-2.0,-4.0,2.0,0.0,0.0,-1.0
56,2015,10,North,2,7.0,6.0,8.0,2.0,2.0,3.0,2.0,4.0,1.0,-1.0,1.0,1.0
57,2015,11,North,2,6.0,6.0,7.0,1.0,-1.0,-3.0,0.0,-2.0,-1.0,-2.0,-1.0,-2.0
58,2015,12,North,35,5.0,5.0,5.0,2.0,-1.0,0.0,-1.0,-1.0,-2.0,-1.0,1.0,2.0
59,2015,13,North,39,4.0,4.0,6.0,1.0,-1.0,0.0,-1.0,0.0,1.0,3.0,-1.0,-2.0
60,2015,14,North,46,7.0,6.0,7.0,2.0,3.0,4.0,2.0,3.0,1.0,0.0,1.0,2.0
61,2015,15,North,62,6.0,5.0,6.0,2.0,-1.0,-4.0,-1.0,-3.0,-1.0,-2.0,0.0,-1.0
62,2015,16,North,62,7.0,6.0,6.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0
63,2015,27,North,24,7.0,7.0,6.0,2.0,-1.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0
64,2015,29,North,63,8.0,7.0,7.0,2.0,-1.0,-3.0,0.0,0.0,0.0,-1.0,1.0,2.0
65,2015,32,North,62,5.0,6.0,6.0,1.0,0.0,2.0,0.0,0.0,-1.0,-3.0,0.0,1.0
