,yr,week,region,no_cases,total_daily_rainfall,max_wind_sp,max_temp,rainy_day,mean_temp,mean_wind_sp,min_temp,dengue_fever,dengue,mosquito,insect_repellent,dengue_fever_diff,dengue_fever_2nd_diff,dengue_diff,dengue_2nd_diff,mosquito_diff,mosquito_2nd_diff,insect_repellent_diff,insect_repellent_2nd_diff
0,2013,21,Northeast,53,124.89999999999999,32.0,34.9,1,27.7,4.21875,22.7,33.0,30.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2013,22,Northeast,56,304.0,64.8,35.5,1,27.7,4.510714285714285,22.2,29.0,28.0,9.0,3.0,-4.0,0.0,-2.0,0.0,-1.0,0.0,1.0,0.0
2,2013,23,Northeast,153,526.7,55.4,34.7,1,27.7,4.903571428571429,23.2,56.0,52.0,18.0,4.0,27.0,31.0,24.0,26.0,9.0,10.0,1.0,0.0
3,2013,24,Northeast,82,26.7,40.7,35.4,1,29.6,5.867857142857143,24.2,42.0,39.0,14.0,2.0,-14.0,-41.0,-13.0,-37.0,-4.0,-13.0,-2.0,-3.0
4,2013,25,Northeast,73,0.0,43.9,35.9,0,29.6,5.3,24.4,25.0,23.0,8.0,2.0,-17.0,-3.0,-16.0,-3.0,-6.0,-2.0,0.0,2.0
5,2013,26,Northeast,54,73.9,42.5,35.4,1,28.5,4.771428571428571,23.4,26.0,24.0,9.0,3.0,1.0,18.0,1.0,17.0,1.0,7.0,1.0,1.0
6,2013,27,Northeast,126,27.900000000000002,38.9,34.1,1,27.9,5.714285714285714,23.6,18.0,17.0,8.0,1.0,-8.0,-9.0,-7.0,-8.0,-1.0,-2.0,-2.0,-3.0
7,2013,28,Northeast,166,278.5,44.3,34.1,1,27.3,5.117857142857143,22.8,16.0,16.0,8.0,3.0,-2.0,6.0,-1.0,6.0,0.0,1.0,2.0,4.0
8,2013,29,Northeast,179,91.8,63.7,34.6,1,27.5,5.039285714285714,22.5,14.0,13.0,8.0,2.0,-2.0,0.0,-3.0,-2.0,0.0,0.0,-1.0,-3.0
9,2013,30,Northeast,171,136.9,38.9,34.8,1,27.9,6.121428571428572,22.7,12.0,11.0,9.0,1.0,-2.0,0.0,-2.0,1.0,1.0,1.0,-1.0,0.0
10,2013,31,Northeast,153,246.2,51.5,34.2,1,27.7,6.0249999999999995,22.0,11.0,9.0,9.0,2.0,-1.0,1.0,-2.0,0.0,0.0,-1.0,1.0,2.0
11,2013,32,Northeast,65,256.09999999999997,54.0,32.9,1,27.4,6.1000000000000005,22.1,13.0,13.0,8.0,0.0,2.0,3.0,4.0,6.0,-1.0,-1.0,-2.0,-3.0
12,2013,33,Northeast,37,58.2,52.6,33.7,1,27.6,5.739285714285714,21.9,12.0,11.0,7.0,2.0,-1.0,-3.0,-2.0,-6.0,-1.0,0.0,2.0,4.0
13,2013,34,Northeast,54,67.8,40.7,34.2,1,28.3,6.839285714285714,23.1,11.0,11.0,7.0,1.0,-1.0,0.0,0.0,2.0,0.0,1.0,-1.0,-3.0
14,2013,35,Northeast,76,115.10000000000001,44.3,34.3,1,27.8,6.117857142857143,20.0,9.0,9.0,5.0,1.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,0.0,1.0
15,2013,36,Northeast,99,676.9,52.6,33.4,1,26.1,4.95,21.6,12.0,11.0,6.0,2.0,3.0,5.0,2.0,4.0,1.0,3.0,1.0,1.0
16,2013,37,Northeast,150,144.2,38.9,32.8,1,27.0,5.660714285714286,22.9,11.0,10.0,6.0,1.0,-1.0,-4.0,-1.0,-3.0,0.0,-1.0,-1.0,-2.0
17,2013,38,Northeast,153,22.400000000000002,38.9,34.4,1,28.5,6.546428571428572,23.6,9.0,8.0,5.0,1.0,-2.0,-1.0,-2.0,-1.0,-1.0,-1.0,0.0,1.0
18,2013,39,Northeast,153,357.5,63.0,35.0,1,27.9,5.753571428571428,22.1,15.0,13.0,5.0,2.0,6.0,8.0,5.0,7.0,0.0,1.0,1.0,1.0
19,2013,40,Northeast,153,74.5,57.2,34.1,1,27.8,6.142857142857143,22.5,13.0,13.0,6.0,1.0,-2.0,-8.0,0.0,-5.0,1.0,1.0,-1.0,-2.0
20,2013,41,Northeast,153,242.0,45.0,34.9,1,27.8,5.453571428571428,22.1,11.0,10.0,8.0,1.0,-2.0,0.0,-3.0,-3.0,2.0,1.0,0.0,1.0
21,2013,42,Northeast,153,101.6,46.4,34.0,1,28.0,5.964285714285714,23.1,15.0,15.0,7.0,2.0,4.0,6.0,5.0,8.0,-1.0,-3.0,1.0,1.0
