year,week,date,region_n,avg_value
2013,21,2013-05-20,CENTRAL REGION,83.20328466977637
2013,22,2013-05-27,CENTRAL REGION,83.20328466977637
2013,23,2013-06-03,CENTRAL REGION,83.20328466977637
2013,24,2013-06-10,CENTRAL REGION,83.20328466977637
2013,25,2013-06-17,CENTRAL REGION,83.20328466977637
2013,26,2013-06-24,CENTRAL REGION,83.20328466977637
2013,27,2013-07-01,CENTRAL REGION,83.20328466977637
2013,28,2013-07-08,CENTRAL REGION,83.20328466977637
2013,29,2013-07-15,CENTRAL REGION,83.20328466977637
2013,30,2013-07-22,CENTRAL REGION,83.20328466977637
2013,31,2013-07-29,CENTRAL REGION,83.20328466977637
2013,32,2013-08-05,CENTRAL REGION,83.20328466977637
2013,33,2013-08-12,CENTRAL REGION,83.20328466977637
2013,34,2013-08-19,CENTRAL REGION,83.20328466977637
2013,35,2013-08-26,CENTRAL REGION,83.20328466977637
2013,36,2013-09-02,CENTRAL REGION,83.20328466977637
2013,37,2013-09-09,CENTRAL REGION,83.20328466977637
2013,38,2013-09-16,CENTRAL REGION,83.20328466977637
2013,39,2013-09-23,CENTRAL REGION,83.20328466977637
2013,40,2013-09-30,CENTRAL REGION,83.20328466977637
2013,41,2013-10-07,CENTRAL REGION,83.20328466977637
2013,42,2013-10-14,CENTRAL REGION,83.20328466977637
2013,43,2013-10-21,CENTRAL REGION,83.20328466977637
2013,44,2013-10-28,CENTRAL REGION,83.20328466977637
2013,45,2013-11-04,CENTRAL REGION,83.20328466977637
2013,46,2013-11-11,CENTRAL REGION,83.20328466977637
2013,47,2013-11-18,CENTRAL REGION,83.20328466977637
2013,48,2013-11-25,CENTRAL REGION,83.20328466977637
2013,49,2013-12-02,CENTRAL REGION,83.20328466977637
2013,50,2013-12-09,CENTRAL REGION,83.20328466977637
2013,51,2013-12-16,CENTRAL REGION,83.20328466977637
2013,52,2013-12-23,CENTRAL REGION,83.20328466977637
2013,1,2012-12-31,CENTRAL REGION,83.20328466977637
2014,1,2013-12-30,CENTRAL REGION,83.20328466977637
2014,2,2014-01-06,CENTRAL REGION,83.20328466977637
2014,3,2014-01-13,CENTRAL REGION,83.20328466977637
2014,4,2014-01-20,CENTRAL REGION,83.20328466977637
2014,5,2014-01-27,CENTRAL REGION,83.20328466977637
2014,6,2014-02-03,CENTRAL REGION,83.20328466977637
2014,7,2014-02-10,CENTRAL REGION,83.20328466977637
2014,8,2014-02-17,CENTRAL REGION,83.20328466977637
