,year,eweek,type_dengue,number
0,2014,1,Dengue,436.0
2,2014,2,Dengue,479.0
4,2014,3,Dengue,401.0
6,2014,4,Dengue,336.0
8,2014,5,Dengue,234.0
10,2014,6,Dengue,273.0
12,2014,7,Dengue,369.0
14,2014,8,Dengue,193.0
16,2014,9,Dengue,186.0
18,2014,10,Dengue,209.0
20,2014,11,Dengue,224.0
22,2014,12,Dengue,210.0
24,2014,13,Dengue,225.0
26,2014,14,Dengue,240.0
28,2014,15,Dengue,244.0
30,2014,16,Dengue,235.0
32,2014,17,Dengue,282.0
34,2014,18,Dengue,251.0
36,2014,19,Dengue,261.0
38,2014,20,Dengue,291.0
40,2014,21,Dengue,427.0
42,2014,22,Dengue,456.0
44,2014,23,Dengue,458.0
46,2014,24,Dengue,506.0
48,2014,25,Dengue,550.0
50,2014,26,Dengue,671.0
52,2014,27,Dengue,888.0
54,2014,28,Dengue,818.0
56,2014,29,Dengue,744.0
58,2014,30,Dengue,633.0
60,2014,31,Dengue,484.0
62,2014,32,Dengue,545.0
64,2014,33,Dengue,438.0
66,2014,34,Dengue,418.0
68,2014,35,Dengue,367.0
70,2014,36,Dengue,339.0
72,2014,37,Dengue,362.0
74,2014,38,Dengue,396.0
76,2014,39,Dengue,344.0
78,2014,40,Dengue,339.0
80,2014,41,Dengue,278.0
82,2014,42,Dengue,297.0
84,2014,43,Dengue,213.0
86,2014,44,Dengue,186.0
88,2014,45,Dengue,168.0
90,2014,46,Dengue,158.0
92,2014,47,Dengue,149.0
94,2014,48,Dengue,162.0
96,2014,49,Dengue,212.0
98,2014,50,Dengue,177.0
100,2014,51,Dengue,198.0
102,2014,52,Dengue,188.0
104,2014,53,Dengue,158.0
106,2015,1,Dengue,256.0
108,2015,2,Dengue,228.0
110,2015,3,Dengue,238.0
112,2015,4,Dengue,259.0
114,2015,5,Dengue,212.0
116,2015,6,Dengue,173.0
118,2015,7,Dengue,98.0
120,2015,8,Dengue,172.0
122,2015,9,Dengue,189.0
124,2015,10,Dengue,110.0
126,2015,11,Dengue,91.0
128,2015,12,Dengue,129.0
130,2015,13,Dengue,90.0
132,2015,14,Dengue,107.0
134,2015,15,Dengue,137.0
136,2015,16,Dengue,113.0
138,2015,17,Dengue,119.0
140,2015,18,Dengue,135.0
142,2015,19,Dengue,157.0
144,2015,20,Dengue,109.0
146,2015,21,Dengue,178.0
148,2015,22,Dengue,151.0
150,2015,23,Dengue,192.0
