year,planning_area_hse,hdb_1_and_2_room_flats_hse,hdb_3_room_flats_hse,hdb_4_room_flats_hse,hdb_5_room_and_executive_flats_hse,condominiums_and_other_apartments_hse,landed_properties_hse,others_hse,total_hdb_hse,hdb_1_and_2_room_flats_pop,hdb_3_room_flats_pop,hdb_4_room_flats_pop,hdb_5_room_and_executive_flats_pop,condominiums_and_other_apartments_pop,landed_properties_pop,others_pop,total_hdb_pop,total_pop
2010,Ang Mo Kio,5122.0,26090.0,13993.0,6271.0,3661.0,4177.0,391.0,51476.0,11660.0,70180.0,47300.0,21860.0,10870.0,16050.0,1390.0,150980.0,179300.0
2011,Ang Mo Kio,5217.6,25972.0,14154.4,6316.8,3928.8,4321.6,372.8,51660.8,11858.0,68894.0,47058.0,22012.0,11080.0,16122.0,1378.0,149806.0,178394.0
2012,Ang Mo Kio,5313.2,25854.0,14315.8,6362.6,4196.6,4466.2,354.6,51845.6,12056.0,67608.0,46816.0,22164.0,11290.0,16194.0,1366.0,148632.0,177488.0
2013,Ang Mo Kio,5408.8,25736.0,14477.2,6408.4,4464.4,4610.8,336.4,52030.4,12254.0,66322.0,46574.0,22316.0,11500.0,16266.0,1354.0,147458.0,176582.0
2014,Ang Mo Kio,5504.4,25618.0,14638.6,6454.2,4732.2,4755.4,318.2,52215.2,12452.0,65036.0,46332.0,22468.0,11710.0,16338.0,1342.0,146284.0,175676.0
2015,Ang Mo Kio,5600.0,25500.0,14800.0,6500.0,5000.0,4900.0,300.0,52400.0,12650.0,63750.0,46090.0,22620.0,11920.0,16410.0,1330.0,145110.0,174770.0
2016,Ang Mo Kio,5480.4,25217.4,14818.8,6532.8,4963.0,4806.6,305.0,52049.4,12264.0,62182.0,45478.0,22370.0,12332.0,16304.0,1342.0,142292.0,172272.0
2017,Ang Mo Kio,5360.8,24934.8,14837.6,6565.6,4926.0,4713.2,310.0,51698.8,11878.0,60614.0,44866.0,22120.0,12744.0,16198.0,1354.0,139474.0,169774.0
2018,Ang Mo Kio,5241.2,24652.2,14856.4,6598.4,4889.0,4619.8,315.0,51348.2,11492.0,59046.0,44254.0,21870.0,13156.0,16092.0,1366.0,136656.0,167276.0
2019,Ang Mo Kio,5121.6,24369.6,14875.2,6631.2,4852.0,4526.4,320.0,50997.6,11106.0,57478.0,43642.0,21620.0,13568.0,15986.0,1378.0,133838.0,164778.0
2020,Ang Mo Kio,5002.0,24087.0,14894.0,6664.0,4815.0,4433.0,325.0,50647.0,10720.0,55910.0,43030.0,21370.0,13980.0,15880.0,1390.0,131020.0,162280.0
2010,Punggol,0.0,0.0,5914.0,12085.0,0.0,44.0,0.0,17999.0,170.0,0.0,19620.0,39340.0,0.0,250.0,10.0,59130.0,59390.0
2011,Punggol,360.0,380.0,7671.2,12348.0,280.0,35.2,0.0,20759.2,1068.0,1306.0,25490.0,40590.0,696.0,256.0,58.0,68452.0,69462.0
2012,Punggol,720.0,760.0,9428.4,12611.0,560.0,26.4,0.0,23519.4,1966.0,2612.0,31360.0,41840.0,1392.0,262.0,106.0,77774.0,79534.0
2013,Punggol,1080.0,1140.0,11185.6,12874.0,840.0,17.599999999999998,0.0,26279.6,2864.0,3918.0,37230.0,43090.0,2088.0,268.0,154.0,87096.0,89606.0
2014,Punggol,1440.0,1520.0,12942.8,13137.0,1120.0,8.799999999999997,0.0,29039.8,3762.0,5224.0,43100.0,44340.0,2784.0,274.0,202.0,96418.0,99678.0
2015,Punggol,1800.0,1900.0,14700.0,13400.0,1400.0,0.0,0.0,31800.0,4660.0,6530.0,48970.0,45590.0,3480.0,280.0,250.0,105740.0,109750.0
2016,Punggol,2312.8,2600.8,16215.4,14118.0,2532.2,13.8,0.0,35247.0,5586.0,8132.0,53276.0,47920.0,7250.0,286.0,250.0,114906.0,122690.0
2017,Punggol,2825.6,3301.6,17730.8,14836.0,3664.4,27.6,0.0,38694.0,6512.0,9734.0,57582.0,50250.0,11020.0,292.0,250.0,124072.0,135630.0
2018,Punggol,3338.3999999999996,4002.3999999999996,19246.2,15554.0,4796.6,41.400000000000006,0.0,42141.0,7438.0,11336.0,61888.0,52580.0,14790.0,298.0,250.0,133238.0,148570.0
2019,Punggol,3851.2,4703.2,20761.6,16272.0,5928.8,55.2,0.0,45588.0,8364.0,12938.0,66194.0,54910.0,18560.0,304.0,250.0,142404.0,161510.0
2020,Punggol,4364.0,5404.0,22277.0,16990.0,7061.0,69.0,0.0,49035.0,9290.0,14540.0,70500.0,57240.0,22330.0,310.0,250.0,151570.0,174450.0
2010,Pasir Ris,25.0,0.0,11526.0,17424.0,5134.0,1949.0,0.0,28975.0,40.0,0.0,42060.0,67790.0,15830.0,7310.0,830.0,109900.0,133860.0
2011,Pasir Ris,160.0,20.0,11660.8,17579.2,5647.2,1879.2,20.0,29420.0,272.0,104.0,41904.0,67298.0,17348.0,7344.0,796.0,109586.0,135066.0
2012,Pasir Ris,295.0,40.0,11795.6,17734.4,6160.4,1809.4,40.0,29865.0,504.0,208.0,41748.0,66806.0,18866.0,7378.0,762.0,109272.0,136272.0
